Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,572255,b'Oregon',44.6881,-124.136,0,-8,4500.5303,-,s,deg,s,deg,s,W/m,s,m,-,47,v1.0.0
Year,Month,Day,Hour,Minute,Significant Wave Height,Energy Period
2010,2,16,12,0,3.067919969558716,10.249600410461426
2010,2,16,15,0,2.9040000438690186,10.768500328063965
2010,2,16,18,0,2.8013598918914795,11.09630012512207
2010,2,16,21,0,2.8067100048065186,11.439399719238281
2010,2,17,0,0,2.8730599880218506,11.654399871826172
2010,2,17,3,0,2.884779930114746,11.61359977722168
2010,2,17,6,0,2.8114500045776367,11.423999786376953
2010,2,17,9,0,2.701390027999878,11.221599578857422
2010,2,17,12,0,2.588639974594116,11.017999649047852
2010,2,17,15,0,2.476759910583496,10.780400276184082
2010,2,17,18,0,2.3376500606536865,10.631699562072754
2010,2,17,21,0,2.1905899047851562,10.498600006103516
2010,2,18,0,0,2.048140048980713,10.365599632263184
2010,2,18,3,0,1.9292700290679932,10.343999862670898
2010,2,18,6,0,1.8660399913787842,10.623499870300293
2010,2,18,9,0,1.8845200538635254,11.156000137329102
2010,2,18,12,0,1.9634699821472168,11.711400032043457
2010,2,18,15,0,2.0148301124572754,11.984299659729004
2010,2,18,18,0,1.9810400009155273,11.993000030517578
2010,2,18,21,0,1.875849962234497,11.808199882507324
2010,2,19,0,0,1.7392799854278564,11.625300407409668
2010,2,19,3,0,1.6538000106811523,11.575300216674805
2010,2,19,6,0,1.6634600162506104,11.602399826049805
2010,2,19,9,0,1.7756500244140625,11.54259967803955
2010,2,19,12,0,1.898169994354248,11.633999824523926
2010,2,19,15,0,2.021209955215454,11.683300018310547
2010,2,19,18,0,2.188309907913208,12.04800033569336
2010,2,19,21,0,2.3991498947143555,12.444999694824219
2010,2,20,0,0,2.533780097961426,12.568499565124512
2010,2,20,3,0,2.5388998985290527,12.45580005645752
2010,2,20,6,0,2.471090078353882,12.269000053405762
2010,2,20,9,0,2.3835299015045166,12.026599884033203
2010,2,20,12,0,2.2906999588012695,11.726200103759766
2010,2,20,15,0,2.194969892501831,11.406599998474121
2010,2,20,18,0,2.0936501026153564,11.120100021362305
2010,2,20,21,0,1.9858399629592896,10.833399772644043
2010,2,21,0,0,1.8746700286865234,10.566300392150879
2010,2,21,3,0,1.766409993171692,10.384300231933594
2010,2,21,6,0,1.6885099411010742,10.2524995803833
