name,lat,lon
"Toledo Airport, OH",41.6,-83.8
"Tonopah Airport, NV",38.07,-117.08
"Topeka, KS",39.05,-95.68
"Torrington, WY",42.08,-104.22
"Traverse City Airport, MI",44.75,-85.58
"Trenton, NJ",40.22,-74.77
"Trinidad, CO",37.25,-104.33
"Tucson Airport - South, AZ",32.12,-110.93
"Tucumcari Airport, NM",35.18,-103.6
"Tullahoma, TN",35.38,-86.08
"Tulsa Airport, OK",36.2,-95.9
"Tupelo, MS",34.27,-88.77
"Tuscaloosa Airport, AL",33.22,-87.62
"Twin Falls Airport - South, ID",42.48,-114.48
"Tyler Airport, TX",32.35,-95.27
"Ukiah, CA",39.15,-123.2
"Uniontown, PA",39.92,-79.72
"Utica, NY",43.15,-75.38
"Valdosta-Moody AFB, GA",30.97,-83.2
"Valparaiso, IN",41.52,-87.03
"Vernal Airport, UT",40.45,-109.52
"Vernon, TX",34.17,-99.3
"Vicksburg, MS",32.4,-90.78
"Victoria Airport, TX",28.85,-96.92
"Vincennes, IN",38.68,-87.53
"Vineland, NJ",39.48,-75
"Virginia, MN",47.5,-92.55
"Visalia, CA",36.33,-119.3
"Waco Airport, TX",31.62,-97.22
"Wahiawa, HI",21.05,-158.03
"Walla Walla Airport, WA",46.1,-118.28
"Warren, OH",41.33,-80.85
"Warren, PA",41.85,-79.13
"Washington, National Airport, DC",38.85,-77.03
"Waterbury, CT",41.58,-73.07
"Waterloo, IA",42.55,-92.4
"Watertown Airport, SD",44.92,-97.15
"Watertown, NY",43.98,-76.02
"Waterville, ME",44.53,-69.67
"Waukegan, IL",42.35,-87.88
"Waukesha, WI",43.02,-88.23
"Wausau Airport, WI",44.92,-89.62
"Waycross, GA",31.25,-82.4
"Wenatchee, WA",47.42,-120.32
"West Chester, PA",39.97,-75.63
"West Palm Beach Airport, FL",26.68,-80.1
"Wheeling, WV",40.12,-80.7
"Wichita Airport, KS",37.65,-97.42
"Wichita Falls Airport, TX",33.97,-98.48
"Widsor Locks, Bradley Fld, CT",41.93,-72.68
"Williamsport Airport, PA",41.25,-76.92
"Williston, ND",48.15,-103.58
"Willmar, MN",45.12,-95.08
"Wilmington Airport, DE",39.67,-75.6
"Wilmington Airport, NC",34.27,-77.92
"Winchester, VA",39.2,-78.17
"Winnemucca Airport, NV",40.9,-117.8
"Winona, MN",44.05,-91.63
"Winslow Airport, AZ",35.02,-110.73
"Winston-Salem Airport, NC",36.13,-80.22
"Woodward, OK",36.6,-99.52
"Wooster, OH",40.78,-81.92
"Worcester Airport, MA",42.27,-71.87
"Yakima Airport, WA",46.57,-120.53
"Yankton, SD",42.92,-97.38
"York, PA",39.92,-76.75
"Youngstown Airport, OH",41.27,-80.67
"Ypsilanti, MI",42.23,-83.53
"Yreka, CA",41.72,-122.63
"Yuba City, CA",39.13,-121.6
"Yuma Airport, AZ",32.65,-114.62
"Zanesville Airport, OH",39.95,-81.9
