,Diffuse irradiance|W/m2,Global horizontal irradiance|W/m2,Beam irradiance|W/m2,Plane of array irradiance|W/m2
"Mar 24, 05:00 pm",41,202,656,233.35
"Mar 24, 06:00 pm",21,36,130,29.7069
"Mar 24, 07:00 pm",0,0,0,0
"Mar 24, 08:00 pm",0,0,0,0
"Mar 24, 09:00 pm",0,0,0,0
"Mar 24, 10:00 pm",0,0,0,0
"Mar 24, 11:00 pm",0,0,0,0
"Mar 25, 12:00 am",0,0,0,0
"Mar 25, 01:00 am",0,0,0,0
"Mar 25, 02:00 am",0,0,0,0
"Mar 25, 03:00 am",0,0,0,0
"Mar 25, 04:00 am",0,0,0,0
"Mar 25, 05:00 am",0,0,0,0
"Mar 25, 06:00 am",17,20,31,17.0063
"Mar 25, 07:00 am",59,147,411,166.529
"Mar 25, 08:00 am",96,372,661,436.084
"Mar 25, 09:00 am",126,586,777,696.657
"Mar 25, 10:00 am",146,758,841,903.243
"Mar 25, 11:00 am",158,874,878,1043.62
"Mar 25, 12:00 pm",162,916,889,1094.48
"Mar 25, 01:00 pm",159,886,882,1057.02
"Mar 25, 02:00 pm",157,792,852,939.932
"Mar 25, 03:00 pm",146,633,790,747.906
"Mar 25, 04:00 pm",149,405,575,462.2
"Mar 25, 05:00 pm",112,168,226,175.755
"Mar 25, 06:00 pm",24,28,34,24.3991
"Mar 25, 07:00 pm",0,0,0,0
"Mar 25, 08:00 pm",0,0,0,0
"Mar 25, 09:00 pm",0,0,0,0
"Mar 25, 10:00 pm",0,0,0,0
"Mar 25, 11:00 pm",0,0,0,0
"Mar 26, 12:00 am",0,0,0,0
"Mar 26, 01:00 am",0,0,0,0
"Mar 26, 02:00 am",0,0,0,0
"Mar 26, 03:00 am",0,0,0,0
"Mar 26, 04:00 am",0,0,0,0
"Mar 26, 05:00 am",0,0,0,0
"Mar 26, 06:00 am",15,15,1,13.4097
"Mar 26, 07:00 am",103,110,31,104.569
"Mar 26, 08:00 am",184,289,249,311.196
"Mar 26, 09:00 am",215,259,74,258.489
"Mar 26, 10:00 am",413,593,245,638.289
"Mar 26, 11:00 am",311,318,9,299.681
"Mar 26, 12:00 pm",452,609,185,658.944
"Mar 26, 01:00 pm",313,963,784,1122.01
"Mar 26, 02:00 pm",242,756,686,883.904
"Mar 26, 03:00 pm",169,652,779,762.248
"Mar 26, 04:00 pm",70,428,795,498.254
"Mar 26, 05:00 pm",39,212,693,239.243
"Mar 26, 06:00 pm",19,44,217,33.0353
"Mar 26, 07:00 pm",0,0,0,0
"Mar 26, 08:00 pm",0,0,0,0
"Mar 26, 09:00 pm",0,0,0,0
"Mar 26, 10:00 pm",0,0,0,0
"Mar 26, 11:00 pm",0,0,0,0
"Mar 27, 12:00 am",0,0,0,0
"Mar 27, 01:00 am",0,0,0,0
"Mar 27, 02:00 am",0,0,0,0
"Mar 27, 03:00 am",0,0,0,0
"Mar 27, 04:00 am",0,0,0,0
"Mar 27, 05:00 am",0,0,0,0
"Mar 27, 06:00 am",24,32,67,24.6749
"Mar 27, 07:00 am",70,162,410,175.364
"Mar 27, 08:00 am",166,407,564,455.03
"Mar 27, 09:00 am",158,604,742,705.991
"Mar 27, 10:00 am",176,728,749,859.708
"Mar 27, 11:00 am",122,845,878,994.791
"Mar 27, 12:00 pm",184,920,860,1086.76
"Mar 27, 01:00 pm",217,893,813,1055.61
"Mar 27, 02:00 pm",93,812,957,955.08
"Mar 27, 03:00 pm",81,647,909,755.87
"Mar 27, 04:00 pm",109,409,664,470.261
"Mar 27, 05:00 pm",48,202,608,224.165
"Mar 27, 06:00 pm",19,43,217,32.2065
"Mar 27, 07:00 pm",0,0,0,0
"Mar 27, 08:00 pm",0,0,0,0
"Mar 27, 09:00 pm",0,0,0,0
"Mar 27, 10:00 pm",0,0,0,0
"Mar 27, 11:00 pm",0,0,0,0
"Mar 28, 12:00 am",0,0,0,0
"Mar 28, 01:00 am",0,0,0,0
"Mar 28, 02:00 am",0,0,0,0
"Mar 28, 03:00 am",0,0,0,0
"Mar 28, 04:00 am",0,0,0,0
"Mar 28, 05:00 am",0,0,0,0
"Mar 28, 06:00 am",18,31,113,21.4281
"Mar 28, 07:00 am",44,178,585,196.367
"Mar 28, 08:00 am",68,409,790,471.592
"Mar 28, 09:00 am",88,618,876,720.958
"Mar 28, 10:00 am",121,792,906,926.067
"Mar 28, 11:00 am",198,932,887,1092.19
"Mar 28, 12:00 pm",147,950,935,1111.51
"Mar 28, 01:00 pm",147,920,927,1074.78
"Mar 28, 02:00 pm",103,809,936,946.219
"Mar 28, 03:00 pm",90,647,890,750.578
"Mar 28, 04:00 pm",71,438,807,503.088
"Mar 28, 05:00 pm",47,207,626,227.101
"Mar 28, 06:00 pm",22,42,174,30.9812
"Mar 28, 07:00 pm",0,0,0,0
"Mar 28, 08:00 pm",0,0,0,0
"Mar 28, 09:00 pm",0,0,0,0
"Mar 28, 10:00 pm",0,0,0,0
"Mar 28, 11:00 pm",0,0,0,0
"Mar 29, 12:00 am",0,0,0,0
"Mar 29, 01:00 am",0,0,0,0
"Mar 29, 02:00 am",0,0,0,0
"Mar 29, 03:00 am",0,0,0,0
"Mar 29, 04:00 am",0,0,0,0
"Mar 29, 05:00 am",0,0,0,0
"Mar 29, 06:00 am",15,35,182,21.8119
"Mar 29, 07:00 am",35,193,672,209.395
"Mar 29, 08:00 am",54,422,843,481.683
"Mar 29, 09:00 am",70,633,922,734.385
"Mar 29, 10:00 am",90,801,954,935.039
"Mar 29, 11:00 am",138,926,948,1079.15
"Mar 29, 12:00 pm",90,951,997,1113.56
"Mar 29, 01:00 pm",98,921,982,1076.54
"Mar 29, 02:00 pm",125,754,831,883.428
"Mar 29, 03:00 pm",128,629,798,727.248
"Mar 29, 04:00 pm",205,411,452,442.795
"Mar 29, 05:00 pm",97,197,387,206.332
"Mar 29, 06:00 pm",27,40,121,31.8725
"Mar 29, 07:00 pm",0,0,0,0
"Mar 29, 08:00 pm",0,0,0,0
"Mar 29, 09:00 pm",0,0,0,0
"Mar 29, 10:00 pm",0,0,0,0
"Mar 29, 11:00 pm",0,0,0,0
"Mar 30, 12:00 am",0,0,0,0
"Mar 30, 01:00 am",0,0,0,0
"Mar 30, 02:00 am",0,0,0,0
"Mar 30, 03:00 am",0,0,0,0
"Mar 30, 04:00 am",0,0,0,0
"Mar 30, 05:00 am",0,0,0,0
"Mar 30, 06:00 am",21,31,80,22.1443
"Mar 30, 07:00 am",56,177,506,189.207
"Mar 30, 08:00 am",110,389,632,438.207
"Mar 30, 09:00 am",149,588,716,679.06
"Mar 30, 10:00 am",174,734,747,855.598
"Mar 30, 11:00 am",143,863,861,1009.83
"Mar 30, 12:00 pm",220,931,822,1092.25
"Mar 30, 01:00 pm",247,857,725,996.851
"Mar 30, 02:00 pm",255,740,637,848.621
"Mar 30, 03:00 pm",273,541,424,590.466
"Mar 30, 04:00 pm",187,356,367,379.774
"Mar 30, 05:00 pm",75,193,453,204.955
"Mar 30, 06:00 pm",26,39,114,30.0384
"Mar 30, 07:00 pm",0,0,0,0
"Mar 30, 08:00 pm",0,0,0,0
"Mar 30, 09:00 pm",0,0,0,0
"Mar 30, 10:00 pm",0,0,0,0
"Mar 30, 11:00 pm",0,0,0,0
"Mar 31, 12:00 am",0,0,0,0
"Mar 31, 01:00 am",0,0,0,0
"Mar 31, 02:00 am",0,0,0,0
"Mar 31, 03:00 am",0,0,0,0
"Mar 31, 04:00 am",0,0,0,0
"Mar 31, 05:00 am",0,0,0,0
"Mar 31, 06:00 am",21,34,114,23.2989
"Mar 31, 07:00 am",51,189,568,200.312
"Mar 31, 08:00 am",77,421,771,473.527
"Mar 31, 09:00 am",99,636,867,731.839
"Mar 31, 10:00 am",114,803,915,926.847
"Mar 31, 11:00 am",123,912,941,1056.21
"Mar 31, 12:00 pm",126,954,953,1106.17
"Mar 31, 01:00 pm",123,926,951,1070.79
"Mar 31, 02:00 pm",115,826,931,951.026
"Mar 31, 03:00 pm",101,660,885,759.349
"Mar 31, 04:00 pm",80,452,804,507.217
"Mar 31, 05:00 pm",53,216,616,227.352
"Mar 31, 06:00 pm",24,43,166,30.3012
"Mar 31, 07:00 pm",0,0,0,0
"Mar 31, 08:00 pm",0,0,0,0
"Mar 31, 09:00 pm",0,0,0,0
"Mar 31, 10:00 pm",0,0,0,0
"Mar 31, 11:00 pm",0,0,0,0
"Apr 1, 12:00 am",0,0,0,0
"Apr 1, 01:00 am",0,0,0,0
"Apr 1, 02:00 am",0,0,0,0
"Apr 1, 03:00 am",0,0,0,0
"Apr 1, 04:00 am",0,0,0,0
"Apr 1, 05:00 am",0,0,0,0
"Apr 1, 06:00 am",19,34,139,22.2482
"Apr 1, 07:00 am",44,205,643,213.422
"Apr 1, 08:00 am",73,431,786,477.296
"Apr 1, 09:00 am",112,630,828,718.242
"Apr 1, 10:00 am",257,783,694,891.862
"Apr 1, 11:00 am",147,913,911,1051.16
"Apr 1, 12:00 pm",122,983,945,1093.23
"Apr 1, 01:00 pm",101,934,969,1064.24
"Apr 1, 02:00 pm",94,832,952,946.131
"Apr 1, 03:00 pm",83,675,913,754.686
"Apr 1, 04:00 pm",65,439,837,505.314
"Apr 1, 05:00 pm",44,223,672,232.36
"Apr 1, 06:00 pm",21,46,223,30.2542
"Apr 1, 07:00 pm",0,0,0,0
"Apr 1, 08:00 pm",0,0,0,0
"Apr 1, 09:00 pm",0,0,0,0
"Apr 1, 10:00 pm",0,0,0,0
"Apr 1, 11:00 pm",0,0,0,0
"Apr 2, 12:00 am",0,0,0,0
"Apr 2, 01:00 am",0,0,0,0
"Apr 2, 02:00 am",0,0,0,0
"Apr 2, 03:00 am",0,0,0,0
"Apr 2, 04:00 am",0,0,0,0
"Apr 2, 05:00 am",0,0,0,0
"Apr 2, 06:00 am",25,38,117,26.3391
"Apr 2, 07:00 am",73,187,451,192.983
"Apr 2, 08:00 am",122,431,669,469.661
"Apr 2, 09:00 am",155,642,772,725.34
"Apr 2, 10:00 am",200,810,812,938.666
"Apr 2, 11:00 am",200,924,856,1061.87
"Apr 2, 12:00 pm",193,992,874,1105.62
"Apr 2, 01:00 pm",180,938,876,1064.98
"Apr 2, 02:00 pm",157,826,861,938.532
"Apr 2, 03:00 pm",126,667,819,735.238
"Apr 2, 04:00 pm",95,436,732,483.462
"Apr 2, 05:00 pm",87,187,377,190.761
"Apr 2, 06:00 pm",27,28,47,26.2123
"Apr 2, 07:00 pm",0,0,0,0
"Apr 2, 08:00 pm",0,0,0,0
"Apr 2, 09:00 pm",0,0,0,0
"Apr 2, 10:00 pm",0,0,0,0
"Apr 2, 11:00 pm",0,0,0,0
"Apr 3, 12:00 am",0,0,0,0
"Apr 3, 01:00 am",0,0,0,0
"Apr 3, 02:00 am",0,0,0,0
"Apr 3, 03:00 am",0,0,0,0
"Apr 3, 04:00 am",0,0,0,0
"Apr 3, 05:00 am",0,0,0,0
"Apr 3, 06:00 am",25,37,94,25.3291
"Apr 3, 07:00 am",61,190,513,197.615
"Apr 3, 08:00 am",93,420,717,464.681
"Apr 3, 09:00 am",119,625,816,717.432
"Apr 3, 10:00 am",136,790,870,918.109
"Apr 3, 11:00 am",147,903,897,1036.56
"Apr 3, 12:00 pm",150,973,906,1080.81
"Apr 3, 01:00 pm",147,926,899,1041.27
"Apr 3, 02:00 pm",145,820,864,927.542
"Apr 3, 03:00 pm",145,661,797,739.946
"Apr 3, 04:00 pm",121,437,676,479.919
"Apr 3, 05:00 pm",72,207,502,211.727
"Apr 3, 06:00 pm",27,34,94,27.9072
"Apr 3, 07:00 pm",0,0,0,0
"Apr 3, 08:00 pm",0,0,0,0
"Apr 3, 09:00 pm",0,0,0,0
"Apr 3, 10:00 pm",0,0,0,0
"Apr 3, 11:00 pm",0,0,0,0
"Apr 4, 12:00 am",0,0,0,0
"Apr 4, 01:00 am",0,0,0,0
"Apr 4, 02:00 am",0,0,0,0
"Apr 4, 03:00 am",0,0,0,0
"Apr 4, 04:00 am",0,0,0,0
"Apr 4, 05:00 am",0,0,0,0
"Apr 4, 06:00 am",18,46,258,24.7534
"Apr 4, 07:00 am",37,217,711,225.803
"Apr 4, 08:00 am",55,457,869,499.795
"Apr 4, 09:00 am",78,673,937,756.232
"Apr 4, 10:00 am",90,862,989,965.883
"Apr 4, 11:00 am",124,968,974,1087.7
"Apr 4, 12:00 pm",161,1023,957,1142.34
"Apr 4, 01:00 pm",173,967,907,1085.83
"Apr 4, 02:00 pm",138,852,871,925.054
"Apr 4, 03:00 pm",261,620,561,680.256
"Apr 4, 04:00 pm",189,369,398,392.977
"Apr 4, 05:00 pm",145,141,48,147.078
"Apr 4, 06:00 pm",38,43,45,34.6139
"Apr 4, 07:00 pm",0,0,0,0
"Apr 4, 08:00 pm",0,0,0,0
"Apr 4, 09:00 pm",0,0,0,0
"Apr 4, 10:00 pm",0,0,0,0
"Apr 4, 11:00 pm",0,0,0,0
"Apr 5, 12:00 am",0,0,0,0
"Apr 5, 01:00 am",0,0,0,0
"Apr 5, 02:00 am",0,0,0,0
"Apr 5, 03:00 am",0,0,0,0
"Apr 5, 04:00 am",0,0,0,0
"Apr 5, 05:00 am",0,0,0,0
"Apr 5, 06:00 am",18,54,279,25.7931
"Apr 5, 07:00 am",37,231,728,230.925
"Apr 5, 08:00 am",61,476,873,508.885
"Apr 5, 09:00 am",86,697,941,767.914
"Apr 5, 10:00 am",106,872,975,970.535
"Apr 5, 11:00 am",135,944,945,1070.14
"Apr 5, 12:00 pm",156,1001,950,1129.38
"Apr 5, 01:00 pm",184,943,893,1081.99
"Apr 5, 02:00 pm",235,785,708,884.402
"Apr 5, 03:00 pm",316,600,441,639.484
"Apr 5, 04:00 pm",215,367,333,384.506
"Apr 5, 05:00 pm",80,216,494,215.33
"Apr 5, 06:00 pm",37,44,61,34.1103
"Apr 5, 07:00 pm",0,0,0,0
"Apr 5, 08:00 pm",0,0,0,0
"Apr 5, 09:00 pm",0,0,0,0
"Apr 5, 10:00 pm",0,0,0,0
"Apr 5, 11:00 pm",0,0,0,0
"Apr 6, 12:00 am",0,0,0,0
"Apr 6, 01:00 am",0,0,0,0
"Apr 6, 02:00 am",0,0,0,0
"Apr 6, 03:00 am",0,0,0,0
"Apr 6, 04:00 am",0,0,0,0
"Apr 6, 05:00 am",0,0,0,0
"Apr 6, 06:00 am",29,41,92,27.9484
"Apr 6, 07:00 am",109,183,285,179.44
"Apr 6, 08:00 am",118,442,680,472.466
"Apr 6, 09:00 am",144,692,822,749.863
"Apr 6, 10:00 am",146,866,893,947.907
"Apr 6, 11:00 am",174,964,901,1077.45
"Apr 6, 12:00 pm",195,1019,892,1121.96
"Apr 6, 01:00 pm",218,974,868,1098.8
"Apr 6, 02:00 pm",197,861,849,968.51
"Apr 6, 03:00 pm",154,674,804,749.804
"Apr 6, 04:00 pm",111,458,733,494.97
"Apr 6, 05:00 pm",70,222,551,219.903
"Apr 6, 06:00 pm",25,49,216,29.3314
"Apr 6, 07:00 pm",0,0,0,0
"Apr 6, 08:00 pm",0,0,0,0
"Apr 6, 09:00 pm",0,0,0,0
"Apr 6, 10:00 pm",0,0,0,0
"Apr 6, 11:00 pm",0,0,0,0
"Apr 7, 12:00 am",0,0,0,0
"Apr 7, 01:00 am",0,0,0,0
"Apr 7, 02:00 am",0,0,0,0
"Apr 7, 03:00 am",0,0,0,0
"Apr 7, 04:00 am",0,0,0,0
"Apr 7, 05:00 am",0,0,0,0
"Apr 7, 06:00 am",19,56,300,26.2155
"Apr 7, 07:00 am",38,225,732,234.426
"Apr 7, 08:00 am",57,465,879,508.719
"Apr 7, 09:00 am",72,692,949,759.08
"Apr 7, 10:00 am",83,865,986,955.362
"Apr 7, 11:00 am",107,961,985,1079.01
"Apr 7, 12:00 pm",125,1015,970,1116.36
"Apr 7, 01:00 pm",158,956,920,1079.25
"Apr 7, 02:00 pm",144,854,910,961.16
"Apr 7, 03:00 pm",135,674,824,740.832
"Apr 7, 04:00 pm",168,425,530,442.845
"Apr 7, 05:00 pm",125,188,221,178.059
"Apr 7, 06:00 pm",35,45,82,32.3872
"Apr 7, 07:00 pm",0,0,0,0
"Apr 7, 08:00 pm",0,0,0,0
"Apr 7, 09:00 pm",0,0,0,0
"Apr 7, 10:00 pm",0,0,0,0
"Apr 7, 11:00 pm",0,0,0,0
"Apr 8, 12:00 am",0,0,0,0
"Apr 8, 01:00 am",0,0,0,0
"Apr 8, 02:00 am",0,0,0,0
"Apr 8, 03:00 am",0,0,0,0
"Apr 8, 04:00 am",0,0,0,0
"Apr 8, 05:00 am",0,0,0,0
"Apr 8, 06:00 am",32,35,32,28.7015
"Apr 8, 07:00 am",95,225,455,214.243
"Apr 8, 08:00 am",149,452,621,473.072
"Apr 8, 09:00 am",235,637,607,682.918
"Apr 8, 10:00 am",180,809,794,900.291
"Apr 8, 11:00 am",178,958,856,1036.23
"Apr 8, 12:00 pm",162,999,899,1093.39
"Apr 8, 01:00 pm",151,948,913,1052.82
"Apr 8, 02:00 pm",141,829,888,937.364
"Apr 8, 03:00 pm",124,665,836,736.837
"Apr 8, 04:00 pm",98,456,740,482.545
"Apr 8, 05:00 pm",66,220,552,214.244
"Apr 8, 06:00 pm",29,45,141,28.3419
"Apr 8, 07:00 pm",0,0,0,0
"Apr 8, 08:00 pm",0,0,0,0
"Apr 8, 09:00 pm",0,0,0,0
"Apr 8, 10:00 pm",0,0,0,0
"Apr 8, 11:00 pm",0,0,0,0
"Apr 9, 12:00 am",0,0,0,0
"Apr 9, 01:00 am",0,0,0,0
"Apr 9, 02:00 am",0,0,0,0
"Apr 9, 03:00 am",0,0,0,0
"Apr 9, 04:00 am",0,0,0,0
"Apr 9, 05:00 am",0,0,0,0
"Apr 9, 06:00 am",29,42,109,27.6479
"Apr 9, 07:00 am",103,199,309,180.373
"Apr 9, 08:00 am",168,383,422,387.508
"Apr 9, 09:00 am",227,578,522,614.165
"Apr 9, 10:00 am",335,665,409,704.48
"Apr 9, 11:00 am",374,662,333,716.829
"Apr 9, 12:00 pm",410,706,352,786.729
"Apr 9, 01:00 pm",413,688,333,756.755
"Apr 9, 02:00 pm",352,660,396,709.689
"Apr 9, 03:00 pm",276,574,464,619.017
"Apr 9, 04:00 pm",169,377,484,418.326
"Apr 9, 05:00 pm",96,195,352,186.997
"Apr 9, 06:00 pm",26,52,222,27.7724
"Apr 9, 07:00 pm",0,0,0,0
"Apr 9, 08:00 pm",0,0,0,0
"Apr 9, 09:00 pm",0,0,0,0
"Apr 9, 10:00 pm",0,0,0,0
"Apr 9, 11:00 pm",0,0,0,0
"Apr 10, 12:00 am",0,0,0,0
"Apr 10, 01:00 am",0,0,0,0
"Apr 10, 02:00 am",0,0,0,0
"Apr 10, 03:00 am",0,0,0,0
"Apr 10, 04:00 am",0,0,0,0
"Apr 10, 05:00 am",0,0,0,0
"Apr 10, 06:00 am",37,36,23,32.1878
"Apr 10, 07:00 am",130,187,187,170.517
"Apr 10, 08:00 am",109,465,722,485.589
"Apr 10, 09:00 am",108,708,862,739.316
"Apr 10, 10:00 am",116,862,929,939.439
"Apr 10, 11:00 am",124,964,950,1060.45
"Apr 10, 12:00 pm",126,993,957,1101.13
"Apr 10, 01:00 pm",124,966,950,1059.07
"Apr 10, 02:00 pm",116,847,928,935.962
"Apr 10, 03:00 pm",102,672,884,741.126
"Apr 10, 04:00 pm",81,449,802,493.696
"Apr 10, 05:00 pm",55,237,633,223.49
"Apr 10, 06:00 pm",27,50,212,27.5961
"Apr 10, 07:00 pm",0,0,0,0
"Apr 10, 08:00 pm",0,0,0,0
"Apr 10, 09:00 pm",0,0,0,0
"Apr 10, 10:00 pm",0,0,0,0
"Apr 10, 11:00 pm",0,0,0,0
"Apr 11, 12:00 am",0,0,0,0
"Apr 11, 01:00 am",0,0,0,0
"Apr 11, 02:00 am",0,0,0,0
"Apr 11, 03:00 am",0,0,0,0
"Apr 11, 04:00 am",0,0,0,0
"Apr 11, 05:00 am",0,0,0,0
"Apr 11, 06:00 am",27,55,227,28.1384
"Apr 11, 07:00 am",56,227,635,228.946
"Apr 11, 08:00 am",82,463,799,497.439
"Apr 11, 09:00 am",102,686,879,741.06
"Apr 11, 10:00 am",116,850,925,935.558
"Apr 11, 11:00 am",124,953,948,1057.72
"Apr 11, 12:00 pm",127,987,951,1094.99
"Apr 11, 01:00 pm",124,962,945,1052.86
"Apr 11, 02:00 pm",116,850,926,932.745
"Apr 11, 03:00 pm",102,682,885,740.36
"Apr 11, 04:00 pm",82,462,806,495.354
"Apr 11, 05:00 pm",56,223,638,224.75
"Apr 11, 06:00 pm",27,52,224,26.9793
"Apr 11, 07:00 pm",0,0,0,0
"Apr 11, 08:00 pm",0,0,0,0
"Apr 11, 09:00 pm",0,0,0,0
"Apr 11, 10:00 pm",0,0,0,0
"Apr 11, 11:00 pm",0,0,0,0
"Apr 12, 12:00 am",0,0,0,0
"Apr 12, 01:00 am",0,0,0,0
"Apr 12, 02:00 am",0,0,0,0
"Apr 12, 03:00 am",0,0,0,0
"Apr 12, 04:00 am",0,0,0,0
"Apr 12, 05:00 am",0,0,0,0
"Apr 12, 06:00 am",31,48,159,28.8802
"Apr 12, 07:00 am",69,242,564,222.141
"Apr 12, 08:00 am",102,477,741,488.481
"Apr 12, 09:00 am",127,698,831,736.558
"Apr 12, 10:00 am",143,856,881,931.927
"Apr 12, 11:00 am",153,955,905,1043.99
"Apr 12, 12:00 pm",156,985,914,1085.47
"Apr 12, 01:00 pm",153,952,905,1041.58
"Apr 12, 02:00 pm",143,845,882,928.142
"Apr 12, 03:00 pm",126,684,836,732.881
"Apr 12, 04:00 pm",101,464,744,482.147
"Apr 12, 05:00 pm",68,222,562,214.809
"Apr 12, 06:00 pm",31,45,158,27.7485
"Apr 12, 07:00 pm",0,0,0,0
"Apr 12, 08:00 pm",0,0,0,0
"Apr 12, 09:00 pm",0,0,0,0
"Apr 12, 10:00 pm",0,0,0,0
"Apr 12, 11:00 pm",0,0,0,0
"Apr 13, 12:00 am",0,0,0,0
"Apr 13, 01:00 am",0,0,0,0
"Apr 13, 02:00 am",0,0,0,0
"Apr 13, 03:00 am",0,0,0,0
"Apr 13, 04:00 am",0,0,0,0
"Apr 13, 05:00 am",0,0,0,0
"Apr 13, 06:00 am",29,60,249,29.2758
"Apr 13, 07:00 am",58,248,643,233.935
"Apr 13, 08:00 am",83,492,804,501.502
"Apr 13, 09:00 am",104,703,885,747.275
"Apr 13, 10:00 am",117,863,928,938.295
"Apr 13, 11:00 am",125,964,950,1058.99
"Apr 13, 12:00 pm",128,993,959,1101.68
"Apr 13, 01:00 pm",125,971,952,1057.86
"Apr 13, 02:00 pm",117,860,926,930.757
"Apr 13, 03:00 pm",103,679,884,737.7
"Apr 13, 04:00 pm",82,457,800,489.615
"Apr 13, 05:00 pm",57,227,638,223.702
"Apr 13, 06:00 pm",28,53,230,26.2482
"Apr 13, 07:00 pm",0,0,0,0
"Apr 13, 08:00 pm",0,0,0,0
"Apr 13, 09:00 pm",0,0,0,0
"Apr 13, 10:00 pm",0,0,0,0
"Apr 13, 11:00 pm",0,0,0,0
"Apr 14, 12:00 am",0,0,0,0
"Apr 14, 01:00 am",0,0,0,0
"Apr 14, 02:00 am",0,0,0,0
"Apr 14, 03:00 am",0,0,0,0
"Apr 14, 04:00 am",0,0,0,0
"Apr 14, 05:00 am",0,0,0,0
"Apr 14, 06:00 am",29,60,281,29.2586
"Apr 14, 07:00 am",79,241,528,222.69
"Apr 14, 08:00 am",144,375,459,382.717
"Apr 14, 09:00 am",188,685,737,732.059
"Apr 14, 10:00 am",193,832,799,914.669
"Apr 14, 11:00 am",379,655,312,697.589
"Apr 14, 12:00 pm",567,646,130,694.796
"Apr 14, 01:00 pm",429,710,322,756.902
"Apr 14, 02:00 pm",463,501,55,499.73
"Apr 14, 03:00 pm",258,328,113,331.69
"Apr 14, 04:00 pm",250,267,43,255.207
"Apr 14, 05:00 pm",117,137,72,124.179
"Apr 14, 06:00 pm",41,50,76,34.52
"Apr 14, 07:00 pm",0,0,0,0
"Apr 14, 08:00 pm",0,0,0,0
"Apr 14, 09:00 pm",0,0,0,0
"Apr 14, 10:00 pm",0,0,0,0
"Apr 14, 11:00 pm",0,0,0,0
"Apr 15, 12:00 am",0,0,0,0
"Apr 15, 01:00 am",0,0,0,0
"Apr 15, 02:00 am",0,0,0,0
"Apr 15, 03:00 am",0,0,0,0
"Apr 15, 04:00 am",0,0,0,0
"Apr 15, 05:00 am",0,0,0,0
"Apr 15, 06:00 am",36,36,8,31.3172
"Apr 15, 07:00 am",141,160,62,144.331
"Apr 15, 08:00 am",167,456,569,460.931
"Apr 15, 09:00 am",313,401,130,399.149
"Apr 15, 10:00 am",435,629,246,648.242
"Apr 15, 11:00 am",337,843,569,915.704
"Apr 15, 12:00 pm",396,950,599,1024.91
"Apr 15, 01:00 pm",212,925,801,1014.45
"Apr 15, 02:00 pm",269,813,669,868.466
"Apr 15, 03:00 pm",182,648,689,682.777
"Apr 15, 04:00 pm",145,446,600,449.793
"Apr 15, 05:00 pm",84,248,506,212.932
"Apr 15, 06:00 pm",38,54,150,32.0419
"Apr 15, 07:00 pm",0,0,0,0
"Apr 15, 08:00 pm",0,0,0,0
"Apr 15, 09:00 pm",0,0,0,0
"Apr 15, 10:00 pm",0,0,0,0
"Apr 15, 11:00 pm",0,0,0,0
"Apr 16, 12:00 am",0,0,0,0
"Apr 16, 01:00 am",0,0,0,0
"Apr 16, 02:00 am",0,0,0,0
"Apr 16, 03:00 am",0,0,0,0
"Apr 16, 04:00 am",0,0,0,0
"Apr 16, 05:00 am",0,0,0,0
"Apr 16, 06:00 am",33,47,118,29.1268
"Apr 16, 07:00 am",101,250,459,222.515
"Apr 16, 08:00 am",135,476,661,480.719
"Apr 16, 09:00 am",166,676,765,729.765
"Apr 16, 10:00 am",170,837,837,918.322
"Apr 16, 11:00 am",181,946,861,1036.84
"Apr 16, 12:00 pm",192,981,850,1064.8
"Apr 16, 01:00 pm",188,954,859,1037.45
"Apr 16, 02:00 pm",207,852,799,919.317
"Apr 16, 03:00 pm",232,596,549,627.915
"Apr 16, 04:00 pm",220,269,99,253.316
"Apr 16, 05:00 pm",81,100,66,91.6724
"Apr 16, 06:00 pm",29,27,0,25.5519
"Apr 16, 07:00 pm",0,0,0,0
"Apr 16, 08:00 pm",0,0,0,0
"Apr 16, 09:00 pm",0,0,0,0
"Apr 16, 10:00 pm",0,0,0,0
"Apr 16, 11:00 pm",0,0,0,0
"Apr 17, 12:00 am",0,0,0,0
"Apr 17, 01:00 am",0,0,0,0
"Apr 17, 02:00 am",0,0,0,0
"Apr 17, 03:00 am",0,0,0,0
"Apr 17, 04:00 am",0,0,0,0
"Apr 17, 05:00 am",0,0,0,0
"Apr 17, 06:00 am",34,61,196,30.0228
"Apr 17, 07:00 am",73,253,571,229.261
"Apr 17, 08:00 am",105,491,738,490.389
"Apr 17, 09:00 am",130,698,824,733.485
"Apr 17, 10:00 am",146,856,873,924.97
"Apr 17, 11:00 am",156,959,899,1036.26
"Apr 17, 12:00 pm",159,991,906,1073.99
"Apr 17, 01:00 pm",155,963,902,1033.33
"Apr 17, 02:00 pm",146,848,879,920.724
"Apr 17, 03:00 pm",128,681,831,723.802
"Apr 17, 04:00 pm",103,458,740,475.453
"Apr 17, 05:00 pm",79,228,497,204.193
"Apr 17, 06:00 pm",36,43,55,30.0311
"Apr 17, 07:00 pm",0,0,0,0
"Apr 17, 08:00 pm",0,0,0,0
"Apr 17, 09:00 pm",0,0,0,0
"Apr 17, 10:00 pm",0,0,0,0
"Apr 17, 11:00 pm",0,0,0,0
"Apr 18, 12:00 am",0,0,0,0
"Apr 18, 01:00 am",0,0,0,0
"Apr 18, 02:00 am",0,0,0,0
