Manufacturer,Model Number,STC,PTC,Technology,A_c,N_s,BIPV,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,T_NOCT,gamma_pmp,alpha_sc,beta_oc,Width,Length,Bifacial,a_py,Il_py,Io_py,Rs_py,Rsh_py,Adj_py,solve_return_code,solve_pass,d_Isc,d_Imp,d_Vmp,d_Pmp,Error
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-240T,240.0,216.0,Multi-c-Si,1.6163679999999998,60.0,N,8.75,37.1,8.13,29.5,46.1,-0.45,0.006125000000000001,-0.12614,0.988,1.636,0,1.5597625851516865,8.766742702208111,4.012902442720229e-10,0.3784247672502362,197.77078132417304,8.296571219126822,4.0,first_pass,-4.0602442043434294e-15,0.003907739629065115,-0.004026845637583794,-0.00013484187279682542,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-240TB,240.0,216.0,Multi-c-Si,1.6163679999999998,60.0,N,8.75,37.1,8.13,29.5,46.1,-0.45,0.006125000000000001,-0.12614,0.988,1.636,0,1.5597625851516865,8.766742702208111,4.012902442720229e-10,0.3784247672502362,197.77078132417304,8.296571219126822,4.0,first_pass,-4.0602442043434294e-15,0.003907739629065115,-0.004026845637583794,-0.00013484187279682542,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-240TW,240.0,216.0,Multi-c-Si,1.6163679999999998,60.0,N,8.75,37.1,8.13,29.5,46.1,-0.45,0.006125000000000001,-0.12614,0.988,1.636,0,1.5597625851516865,8.766742702208111,4.012902442720229e-10,0.3784247672502362,197.77078132417304,8.296571219126822,4.0,first_pass,-4.0602442043434294e-15,0.003907739629065115,-0.004026845637583794,-0.00013484187279682542,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-0-245T,245.0,217.9,Mono-c-Si,1.652,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,1.0,1.652,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-0-245TW,245.0,217.9,Mono-c-Si,1.652,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,1.0,1.652,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-245T,245.0,217.9,Mono-c-Si,1.652,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,1.0,1.652,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-245TB,245.0,217.9,Mono-c-Si,1.652,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,1.0,1.652,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-245TW,245.0,217.9,Mono-c-Si,1.652,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,1.0,1.652,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-245T,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-245TB,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-245TW,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-245T,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-245TB,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-245TW,245.0,218.1,Mono-c-Si,1.6163679999999998,60.0,N,8.63,37.5,8.11,30.2,47.9,-0.458,0.004228700000000001,-0.11962500000000001,0.988,1.636,0,1.5586951839933925,8.636106889331426,3.0466984894748437e-10,0.3370009887318956,476.2358000911891,13.284965442871359,4.0,first_pass,3.9458587035113326e-13,-4.446231930171038e-05,4.444641984106483e-05,-1.7875651504723983e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-245T,245.0,217.9,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.9,-0.48,0.0044,-0.1302,1.0,1.652,0,1.582389315746927,8.80697538101569,5.382489034526841e-10,0.35445174142312097,447.16938110713886,7.859281070705116,4.0,first_pass,-2.0185873175002846e-16,-0.00033983122622814653,0.00033896007050371476,-9.86344940867167e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-245TB,245.0,220.5,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,1.0,1.652,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-245TW,245.0,217.9,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.9,-0.48,0.0044,-0.1302,1.0,1.652,0,1.582389315746927,8.80697538101569,5.382489034526841e-10,0.35445174142312097,447.16938110713886,7.859281070705116,4.0,first_pass,-2.0185873175002846e-16,-0.00033983122622814653,0.00033896007050371476,-9.86344940867167e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-2-245Q,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-2-245QB,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-2-245QW,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-3-245Q,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-3-245QB,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-3-245QW,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245Q,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245QB,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245QW,245.0,218.2,Multi-c-Si,1.652,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,1.0,1.652,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245T,245.0,220.5,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,1.0,1.652,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245TB,245.0,220.5,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,1.0,1.652,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-4-245TW,245.0,220.5,Multi-c-Si,1.652,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,1.0,1.652,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-0-245T,245.0,218.0,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.9,-0.48,0.0044,-0.1302,0.988,1.636,0,1.582389315746927,8.80697538101569,5.382489034526841e-10,0.35445174142312097,447.16938110713886,7.859281070705116,4.0,first_pass,-2.0185873175002846e-16,-0.00033983122622814653,0.00033896007050371476,-9.86344940867167e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-0-245TB,245.0,220.6,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,0.988,1.636,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-0-245TW,245.0,218.0,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.9,-0.48,0.0044,-0.1302,0.988,1.636,0,1.582389315746927,8.80697538101569,5.382489034526841e-10,0.35445174142312097,447.16938110713886,7.859281070705116,4.0,first_pass,-2.0185873175002846e-16,-0.00033983122622814653,0.00033896007050371476,-9.86344940867167e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-2-245Q,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-2-245QB,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-2-245QW,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-3-245Q,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-3-245QB,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-3-245QW,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245,245.0,222.9,Multi-c-Si,1.60066,60.0,N,8.8,37.5,8.25,29.7,46.6,-0.4,0.00528,-0.11249999999999999,0.982,1.63,0,1.4674187883459988,8.81170116577117,6.93044921427263e-11,0.4215352492655508,317.02058749357764,6.661989474307983,4.0,first_pass,1.1889479300076675e-13,6.77560202119008e-05,-6.779201410059941e-05,-4.0587205816528505e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245Q,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245QB,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245QW,245.0,218.3,Multi-c-Si,1.6163679999999998,60.0,N,8.73,37.5,8.28,29.6,47.7,-0.458,0.004277700000000001,-0.11962500000000001,0.988,1.636,0,1.5402031439739807,8.730003515965745,2.3283847051581515e-10,0.4025099529192231,999999.6486503951,10.725338662585989,2.0,first_pass,6.582490693539301e-13,-0.003173380958305757,0.0033103573372030427,0.0001264713539581754,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245T,245.0,220.6,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,0.988,1.636,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245TB,245.0,220.6,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,0.988,1.636,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245TW,245.0,220.6,Multi-c-Si,1.6163679999999998,60.0,N,8.8,37.2,8.25,29.7,46.1,-0.45,0.006160000000000001,-0.12648000000000004,0.988,1.636,0,1.560325379335217,8.80775655583494,3.857055282807752e-10,0.35987141044006415,408.2829443083664,7.872008095851621,4.0,first_pass,2.773538974245391e-13,-0.0003398401624872866,0.00033896007050371476,-9.952842290173598e-07,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PB-4-245W,245.0,222.9,Multi-c-Si,1.60066,60.0,N,8.8,37.5,8.25,29.7,46.6,-0.4,0.00528,-0.11249999999999999,0.982,1.63,0,1.4674187883459988,8.81170116577117,6.93044921427263e-11,0.4215352492655508,317.02058749357764,6.661989474307983,4.0,first_pass,1.1889479300076675e-13,6.77560202119008e-05,-6.779201410059941e-05,-4.0587205816528505e-08,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-0-250T,250.0,222.5,Mono-c-Si,1.652,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,1.0,1.652,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-0-250TW,250.0,222.5,Mono-c-Si,1.652,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,1.0,1.652,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-250T,250.0,222.5,Mono-c-Si,1.652,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,1.0,1.652,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-250TB,250.0,222.5,Mono-c-Si,1.652,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,1.0,1.652,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HA-4-250TW,250.0,222.5,Mono-c-Si,1.652,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,1.0,1.652,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-250T,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-250TB,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-0-250TW,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-250T,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-250TB,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60M6-HB-4-250TW,250.0,222.7,Mono-c-Si,1.6163679999999998,60.0,N,8.73,37.6,8.22,30.4,47.9,-0.458,0.004277700000000001,-0.11994400000000001,0.988,1.636,0,1.5647580240042387,8.734558456421627,3.1795731980024137e-10,0.3169594057048674,607.0161249754552,13.564034881557658,4.0,first_pass,5.4287743957845e-13,0.0037657146041552947,-0.003885552808194856,-0.00013447008699455078,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-250T,250.0,222.4,Multi-c-Si,1.652,60.0,N,8.89,37.4,8.33,30.0,46.9,-0.48,0.004445,-0.1309,1.0,1.652,0,1.5957323232436147,8.897528211671126,5.831966070272663e-10,0.3327353349016125,392.9244407715577,8.475285640809732,4.0,first_pass,-3.596673015658549e-15,-0.004153441683720721,0.004026845637583776,-0.000143321314662027,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-250TB,250.0,225.1,Multi-c-Si,1.652,60.0,N,8.89,37.4,8.33,30.0,46.1,-0.45,0.006223000000000001,-0.12716,1.0,1.652,0,1.5734436298869765,8.898286661226306,4.18094342040024e-10,0.33817855760430027,362.8009121073354,8.49301398854088,4.0,first_pass,2.269900303215618e-13,-0.0041547338273981976,0.004026845637583776,-0.00014461866160264453,
Hanwha Qcells (Qidong) Co Ltd,HSL60P6-PA-0-250TW,250.0,222.4,Multi-c-Si,1.652,60.0,N,8.89,37.4,8.33,30.0,46.9,-0.48,0.004445,-0.1309,1.0,1.652,0,1.5957323232436147,8.897528211671126,5.831966070272663e-10,0.3327353349016125,392.9244407715577,8.475285640809732,4.0,first_pass,-3.596673015658549e-15,-0.004153441683720721,0.004026845637583776,-0.000143321314662027,
