Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax low,VPmax low,IPmax NOCT,VPmax NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M-395,395 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,395,362.7,,2/1/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.41,49,9.81,40.3,45.2,-0.417,0.047,-0.306,,,1.87,40.1,7.64,38.1,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F54M(H)-395,395 W 108 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,395,368.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.69,36.8,12.81,30.9,44.8,-0.358,0.051,-0.2794,,,2.57,29.39,10.32,27.8,,,,,,,3/1/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G54M(H)-395,395 W 108 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,395,366.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.69,36.8,12.81,30.9,43.8,-0.402,0.045,-0.304,,,2.59,30.01,10.22,28.1,,,,,,,1/3/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6G72M-400,400 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,400,367.6,,5/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.33,48.9,9.81,40.8,45.3,-0.409,0.045,-0.337,,,1.9,39.65,7.72,37.7,,,,,,,9/1/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M(H)-400,400 W 72 cell monocrystalline module white backsheet 1500V max system Vdc,UL 1703,400,367.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.48,49.2,9.88,40.5,46.3,-0.399,0.058,-0.358,,,1.94,38.85,8.03,36.2,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M-400,400 W 72 cell monocrystalline module white backsheet 1000V max system Vdc,UL 1703,400,367.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.48,49.2,9.88,40.5,46.3,-0.399,0.058,-0.358,,,1.94,38.85,8.03,36.2,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M(H)-400,400 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730 UL 1703,400,367.8,,1/2/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.43,49.1,9.89,40.5,45,-0.416,0.032,-0.322,,,1.79,40.33,7.62,37.8,,,,,,,5/11/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M-400,400 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730 UL 1703,400,367.8,,1/2/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.43,49.1,9.89,40.5,45,-0.416,0.032,-0.322,,,1.79,40.33,7.62,37.8,,,,,,,5/11/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M(H)-400,400 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,400,375.7,,4/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.2,49.1,9.67,41.4,42.4,-0.357,0.045,-0.268,,,1.96,39.32,7.86,38.1,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M-400,400 W 144 half-cut cell bifacial monocrystalline module 1000V max system Vdc,UL 61730,400,375.7,,4/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.2,49.1,9.67,41.4,42.4,-0.357,0.045,-0.268,,,1.96,39.32,7.86,38.1,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M(H)-400,400 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,400,367.4,,2/1/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.48,49.2,9.88,40.5,45.2,-0.417,0.047,-0.306,,,1.89,40.3,7.7,38.3,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M-400,400 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,400,367.4,,2/1/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.48,49.2,9.88,40.5,45.2,-0.417,0.047,-0.306,,,1.89,40.3,7.7,38.3,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F54M(H)-400,400 W 108 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,400,372.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.78,37,12.89,31.1,44.8,-0.358,0.051,-0.2794,,,2.59,29.58,10.39,27.9,,,,,,,3/1/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G54M(H)-400,400 W 108 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,400,371.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.78,37,12.89,31.1,43.8,-0.402,0.045,-0.304,,,2.6,30.2,10.28,28.3,,,,,,,1/3/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6G72M-405,405 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,405,372.4,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.37,49.1,9.86,41.1,45.3,-0.409,0.045,-0.337,,,1.91,39.94,7.76,37.9,,,,,,,9/1/2020,4/21/2021
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M(H)-405,405 W 72 cell monocrystalline module white backsheet 1500V max system Vdc,UL 1703,405,372,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.56,49.3,9.96,40.7,46.3,-0.399,0.058,-0.358,,,1.96,39.04,8.09,36.3,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M-405,405 W 72 cell monocrystalline module white backsheet 1000V max system Vdc,UL 1703,405,372,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.56,49.3,9.96,40.7,46.3,-0.399,0.058,-0.358,,,1.96,39.04,8.09,36.3,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M(H)-405,405 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730 UL 1703,405,372.6,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.5,49.3,9.96,40.7,45,-0.416,0.032,-0.322,,,1.81,40.53,7.67,37.9,,,,,,,5/11/2020,10/21/2020
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M-405,405 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730 UL 1703,405,372.6,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.5,49.3,9.96,40.7,45,-0.416,0.032,-0.322,,,1.81,40.53,7.67,37.9,,,,,,,5/11/2020,10/21/2020
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M(H)-405,405 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,405,380.6,,4/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.26,49.3,9.72,41.7,42.4,-0.357,0.045,-0.268,,,1.97,39.6,7.9,38.4,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M-405,405 W 144 half-cut cell bifacial monocrystalline module 1000V max system Vdc,UL 61730,405,380.6,,4/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.26,49.3,9.72,41.7,42.4,-0.357,0.045,-0.268,,,1.97,39.6,7.9,38.4,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M(H)-405,405 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,405,372.2,,2/1/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.56,49.3,9.96,40.7,45.2,-0.417,0.047,-0.306,,,1.9,40.49,7.76,38.5,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M-405,405 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,405,372.2,,2/1/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.56,49.3,9.96,40.7,45.2,-0.417,0.047,-0.306,,,1.9,40.49,7.76,38.5,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F54M(H)-405,405 W 108 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,405,377.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.86,37.3,12.97,31.2,44.8,-0.358,0.051,-0.2794,,,2.61,29.76,10.45,28.1,,,,,,,3/1/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G54M(H)-405,405 W 108 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,405,375.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.86,37.3,12.97,31.2,43.8,-0.402,0.045,-0.304,,,2.62,30.38,10.34,28.4,,,,,,,1/3/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6G72M-410,410 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,410,377.1,,5/27/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.41,49.3,9.91,41.4,45.3,-0.409,0.045,-0.337,,,1.92,40.23,7.8,38.2,,,,,,,9/1/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M(H)-410,410 W 72 cell monocrystalline module white backsheet 1500V max system Vdc,UL 1703,410,376.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.63,49.5,10.03,40.9,46.3,-0.399,0.058,-0.358,,,1.97,39.23,8.15,36.5,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M-410,410 W 72 cell monocrystalline module white backsheet 1000V max system Vdc,UL 1703,410,376.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.63,49.5,10.03,40.9,46.3,-0.399,0.058,-0.358,,,1.97,39.23,8.15,36.5,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M(H)-410,410 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,410,377.3,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.58,49.5,10.04,40.9,45,-0.416,0.032,-0.322,,,1.82,40.73,7.73,38.1,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M-410,410 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,410,377.3,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.58,49.5,10.04,40.9,45,-0.416,0.032,-0.322,,,1.82,40.73,7.73,38.1,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M(H)-410,410 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,410,385.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.32,49.5,9.77,42,42.4,-0.357,0.045,-0.268,,,1.98,39.89,7.94,38.7,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6G72M-410,410 W 144 half-cut cell bifacial monocrystalline module 1000V max system Vdc,UL 61730,410,385.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.32,49.5,9.77,42,42.4,-0.357,0.045,-0.268,,,1.98,39.89,7.94,38.7,,,,,,,8/3/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M(H)-410,410 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,410,376.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.63,49.5,10.03,40.9,45.2,-0.417,0.047,-0.306,,,1.92,40.69,7.81,38.6,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6H72M-410,410 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,410,376.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.63,49.5,10.03,40.9,45.2,-0.417,0.047,-0.306,,,1.92,40.69,7.81,38.6,,,,,,,5/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F54M(H)-410,410 W 108 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,410,382.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.94,37.5,13.05,31.4,44.8,-0.358,0.051,-0.2794,,,2.62,29.94,10.52,28.3,,,,,,,3/1/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G54M(H)-410,410 W 108 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,410,380.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,13.94,37.5,13.05,31.4,43.8,-0.402,0.045,-0.304,,,2.64,30.57,10.41,28.6,,,,,,,1/3/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6G72M-415,415 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,415,381.9,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.45,49.5,9.96,41.7,45.3,-0.409,0.045,-0.337,,,1.93,40.52,7.84,38.5,,,,,,,4/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M(H)-415,415 W 72 cell monocrystalline module white backsheet 1500V max system Vdc,UL 1703,415,381.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.7,49.8,10.1,41.1,46.3,-0.399,0.058,-0.358,,,1.98,39.42,8.21,36.7,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP672M-415,415 W 72 cell monocrystalline module white backsheet 1000V max system Vdc,UL 1703,415,381.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.98,72,1,N,10.7,49.8,10.1,41.1,46.3,-0.399,0.058,-0.358,,,1.98,39.42,8.21,36.7,,,,,,,1/2/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M(H)-415,415 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,415,382.1,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.66,49.8,10.11,41.1,45,-0.416,0.032,-0.322,,,1.83,40.93,7.79,38.3,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M-415,415 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,415,382.1,,7/14/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.66,49.8,10.11,41.1,45,-0.416,0.032,-0.322,,,1.83,40.93,7.79,38.3,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F54M(H)-415,415 W 108 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,415,387.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,14.02,37.8,13.13,31.6,44.8,-0.358,0.051,-0.2794,,,2.64,30.14,10.58,28.5,,,,,,,3/1/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G54M(H)-415,415 W 108 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,415,385.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.95,54,2,N,14.02,37.8,13.13,31.6,43.8,-0.402,0.045,-0.304,,,2.65,30.77,10.47,28.8,,,,,,,1/3/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6G72M-420,420 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,420,386.6,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.05,72,2,N,10.49,49.7,10.01,42,45.3,-0.409,0.045,-0.337,,,1.94,40.82,7.88,38.8,,,,,,,4/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M(H)-420,420 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,420,386.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.73,50,10.16,41.4,45,-0.416,0.032,-0.322,,,1.84,41.23,7.83,38.6,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6F72M-420,420 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,420,386.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.01,72,2,N,10.73,50,10.16,41.4,45,-0.416,0.032,-0.322,,,1.84,41.23,7.83,38.6,,,,,,,10/21/2020,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-430,430 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,430,398.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.26,48.8,10.73,40.1,45.2,-0.377,0.059,-0.302,,,2.08,38.92,8.46,37.9,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-430,430 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,430,398.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.26,48.8,10.73,40.1,45.2,-0.377,0.059,-0.302,,,2.08,38.92,8.46,37.9,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-435,435 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,435,402.9,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.16,49.8,10.51,41.4,45.3,-0.377,0.075,-0.298,,,2.11,39.27,8.72,37.2,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-435,435 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,435,403,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.33,49,10.8,40.3,45.2,-0.377,0.059,-0.302,,,2.1,39.12,8.52,38.1,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-435,435 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,435,403,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.33,49,10.8,40.3,45.2,-0.377,0.059,-0.302,,,2.1,39.12,8.52,38.1,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-440,440 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,440,407.7,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.22,50,10.58,41.6,45.3,-0.377,0.075,-0.298,,,2.13,39.46,8.78,37.4,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-440,440 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,440,407.8,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.4,49.2,10.87,40.5,45.2,-0.377,0.059,-0.302,,,2.11,39.31,8.57,38.3,,,,,,,1/21/2021,3/11/2021
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-440,440 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,440,407.8,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.4,49.2,10.87,40.5,45.2,-0.377,0.059,-0.302,,,2.11,39.31,8.57,38.3,,,,,,,1/21/2021,3/11/2021
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G60M(H)-440,440 W 120 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,440,408.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,60,2,N,13.69,41,12.81,34.4,43.8,-0.402,0.045,-0.304,,,2.61,33.12,10,32.2,,,,,,,9/1/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-445,445 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,445,412.5,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.29,50.2,10.65,41.8,45.3,-0.377,0.075,-0.298,,,2.14,39.65,8.84,37.5,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-445,445 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,445,412.6,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.47,49.4,10.94,40.7,45.2,-0.377,0.059,-0.302,,,2.13,39.5,8.63,38.5,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-445,445 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,445,412.6,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.47,49.4,10.94,40.7,45.2,-0.377,0.059,-0.302,,,2.13,39.5,8.63,38.5,,,,,,,1/21/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G60M(H)-445,445 W 120 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,445,412.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,60,2,N,13.78,41.2,12.89,34.5,43.8,-0.402,0.045,-0.304,,,2.63,33.3,10.06,32.4,,,,,,,9/1/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-450,450 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,450,417.2,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.36,50.4,10.72,42,45.3,-0.377,0.075,-0.298,,,2.15,39.84,8.89,37.7,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-450,450 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,450,417.4,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.54,49.6,11.01,40.9,45.2,-0.377,0.059,-0.302,,,2.14,39.7,8.68,38.7,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-450,450 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,450,417.4,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.54,49.6,11.01,40.9,45.2,-0.377,0.059,-0.302,,,2.14,39.7,8.68,38.7,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G60M(H)-450,450 W 120 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,450,417.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,60,2,N,13.86,41.3,12.97,34.7,43.8,-0.402,0.045,-0.304,,,2.65,33.46,10.13,32.5,,,,,,,9/1/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-455,455 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,455,422,,11/20/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.43,50.6,10.79,42.2,45.3,-0.377,0.075,-0.298,,,2.17,40.03,8.95,37.9,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M(H)-455,455 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,455,422.1,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.61,49.8,11.08,41.1,45.2,-0.377,0.059,-0.302,,,2.15,39.89,8.74,38.8,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP6L72M-455,455 W 144 half-cut cell monocrystalline module white backsheet 1000V max system Vdc,UL 61730,455,422.1,,9/24/2020,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.61,49.8,11.08,41.1,45.2,-0.377,0.059,-0.302,,,2.15,39.89,8.74,38.8,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G60M(H)-455,455 W 120 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,455,422.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,60,2,N,13.94,41.5,13.05,34.9,43.8,-0.402,0.045,-0.304,,,2.66,33.62,10.19,32.7,,,,,,,9/1/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD6I72M-460,460 W 144 half-cut cell bifacial monocrystalline module 1500V max system Vdc,UL 61730,460,426.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.17,72,2,N,11.5,50.8,10.86,42.4,45.3,-0.377,0.075,-0.298,,,2.18,40.22,9.01,38.1,,,,,,,3/11/2021,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7G60M(H)-460,460 W 120 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,460,427.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,60,2,N,14.02,41.7,13.13,35,43.8,-0.402,0.045,-0.304,,,2.68,33.79,10.25,32.9,,,,,,,9/1/2023,
Suzhou Talesun Solar Technologies Co. Ltd.,TD7G72M-530,530 W 144 half-cut cell bifacial monocrystalline module transparent backsheet 1500V max system Vdc,UL 61730,530,489.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.59,72,2,N,13.72,49.3,12.83,41.3,45.4,-0.395,0.058,-0.294,,,2.6,38.86,10.44,36.7,,,,,,,1/3/2022,
Suzhou Talesun Solar Technologies Co. Ltd.,TP7F72M(H)-530,530 W 144 half-cut cell monocrystalline module white backsheet 1500V max system Vdc,UL 61730,530,494,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.59,72,2,N,13.72,49.3,12.83,41.3,44.8,-0.358,0.051,-0.279,,,2.59,39.34,10.44,36.9,,,,,,,1/3/2022,
