Manufacturer,Model,Technology,Message,celltype,vmp,imp,voc,isc,alpha_isc,beta_voc,gamma_pmp,n_ser,t_ref
Jinko Solar Co. Ltd,JKM375M-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.2,10.36,43.5,11.12,0.0036696,-0.1305,-0.374,22,25
Jinko Solar Co. Ltd,JKM375M-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.8,10.19,44.1,11.01,0.0051747,-0.1323,-0.364,22,25
Jinko Solar Co. Ltd,JKM375M-6RL3-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.7,10.21,43.7,10.85,0.0037975,-0.132411,-0.374,22,25
Jinko Solar Co. Ltd,JKM375M-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.2,10.36,43.5,11.12,0.0036696,-0.1305,-0.374,22,25
Jinko Solar Co. Ltd,JKM375M-72H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0050336,-0.163632,-0.402,144,25
Jinko Solar Co. Ltd,JKM375M-72HB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0054208,-0.161197,-0.402,144,25
Jinko Solar Co. Ltd,JKM375M-72HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.005324,-0.15097,-0.392,24,25
Jinko Solar Co. Ltd,JKM375M-72HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,38.9,9.65,48,10.23,0.0057288,-0.15696,-0.395,24,25
Jinko Solar Co. Ltd,JKM375M-72HBL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,38.9,9.65,48,10.23,0.0050127,-0.1416,-0.349,24,25
Jinko Solar Co. Ltd,JKM375M-72HL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0060984,-0.16558,-0.39,144,25
Jinko Solar Co. Ltd,JKM375M-72HL-BDVP,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.3,9.56,47.9,10.14,0.0056784,-0.149927,-0.409,24,25
Jinko Solar Co. Ltd,JKM375M-72HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,38.9,9.65,48,10.23,0.0050127,-0.14832,-0.38,24,25
Jinko Solar Co. Ltd,JKM375M-72HL-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.3,9.56,47.9,9.92,0.0047616,-0.154238,-0.412,24,25
Jinko Solar Co. Ltd,JKM375M-72HL-TV-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.3,9.56,47.9,9.92,0.0043648,-0.148011,-0.421,24,25
Jinko Solar Co. Ltd,JKM375M-72HL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0061952,-0.156814,-0.372,144,25
Jinko Solar Co. Ltd,JKM375M-72HL-V-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,38.9,9.65,48,10.23,0.0046035,-0.14544,-0.396,24,25
Jinko Solar Co. Ltd,JKM375N-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,35.9,10.44,44.3,11.23,0.004492,-0.133343,-0.374,22,25
Jinko Solar Co. Ltd,JKM375N-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.1,10.1,44.7,10.68,0.0051264,-0.134547,-0.366,22,25
Jinko Solar Co. Ltd,JKM375N-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,35.9,10.44,44.3,11.23,0.0043797,-0.133786,-0.38,22,25
Jinko Solar Co. Ltd,JKMS375M-72HL-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0060984,-0.16558,-0.39,24,25
Jinko Solar Co. Ltd,JKMS375M-72HL-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,10.23,0.0050127,-0.150483,-0.38,24,25
Jinko Solar Co. Ltd,JKMS375M-72HL-V-MX3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0061952,-0.156814,-0.372,24,25
Jinko Solar Co. Ltd,JKMS375M-72HL-V-MX3-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,10.23,0.0046035,-0.147561,-0.396,24,25
Jinko Solar Co. Ltd,JKMS375M-72HL-V-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,9.68,0.0061952,-0.156814,-0.372,24,25
Jinko Solar Co. Ltd,JKMS375M-72HL-V-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.2,9.33,48.7,10.23,0.0046035,-0.147561,-0.396,24,25
Jinko Solar Co. Ltd,JKM380M-66H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.3,10.18,44.1,10.77,0.0034464,-0.138474,-0.381,22,25
Jinko Solar Co. Ltd,JKM380M-66H-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.5,10.14,44.1,10.76,0.006994,-0.139797,-0.398,22,25
Jinko Solar Co. Ltd,JKM380M-66H-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.3,10.18,44.1,10.77,0.0035541,-0.128331,-0.376,22,25
Jinko Solar Co. Ltd,JKM380M-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.3,10.47,43.6,11.21,0.0036993,-0.1308,-0.374,22,25
Jinko Solar Co. Ltd,JKM380M-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.9,10.3,44.2,11.12,0.0052264,-0.1326,-0.364,22,25
Jinko Solar Co. Ltd,JKM380M-6RL3-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.8,10.33,43.8,10.95,0.0038325,-0.132714,-0.374,22,25
Jinko Solar Co. Ltd,JKM380M-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.3,10.47,43.6,11.21,0.0036993,-0.1308,-0.374,22,25
Jinko Solar Co. Ltd,JKM380M-72H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.00507,-0.164304,-0.402,144,25
Jinko Solar Co. Ltd,JKM380M-72HB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.00546,-0.161859,-0.402,144,25
Jinko Solar Co. Ltd,JKM380M-72HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.0053625,-0.15159,-0.392,24,25
Jinko Solar Co. Ltd,JKM380M-72HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.1,9.72,48.2,10.3,0.005768,-0.157614,-0.395,24,25
Jinko Solar Co. Ltd,JKM380M-72HBL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.1,9.72,48.2,10.3,0.005047,-0.14219,-0.349,24,25
Jinko Solar Co. Ltd,JKM380M-72HB-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.0057525,-0.16137,-0.41,144,25
Jinko Solar Co. Ltd,JKM380M-72HL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.0061425,-0.16626,-0.39,144,25
Jinko Solar Co. Ltd,JKM380M-72HL-BDVP,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.66,48,10.23,0.0057288,-0.15024,-0.409,24,25
Jinko Solar Co. Ltd,JKM380M-72HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.1,9.72,48.2,10.3,0.005047,-0.148938,-0.38,24,25
Jinko Solar Co. Ltd,JKM380M-72HL-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.66,48,10.02,0.0048096,-0.15456,-0.412,24,25
Jinko Solar Co. Ltd,JKM380M-72HL-TV-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.66,48,10.02,0.0044088,-0.14832,-0.421,24,25
Jinko Solar Co. Ltd,JKM380M-72HL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.00624,-0.157458,-0.372,144,25
Jinko Solar Co. Ltd,JKM380M-72HL-V-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.1,9.72,48.2,10.3,0.004635,-0.146046,-0.396,24,25
Jinko Solar Co. Ltd,JKM380M-72H-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.005655,-0.164793,-0.412,144,25
Jinko Solar Co. Ltd,JKM380N-54HL4-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,30.5,12.47,36.6,13.23,0.0062181,-0.09699,-0.308,18,25
Jinko Solar Co. Ltd,JKM380N-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36,10.56,44.5,11.33,0.004532,-0.133945,-0.374,22,25
Jinko Solar Co. Ltd,JKM380N-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.3,10.18,44.9,10.76,0.0051648,-0.135149,-0.366,22,25
Jinko Solar Co. Ltd,JKM380N-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36,10.56,44.5,11.33,0.0044187,-0.13439,-0.38,22,25
Jinko Solar Co. Ltd,JKM380N-72H-MBB-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.61,47.8,10.36,0.0050764,-0.153438,-0.441,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.0061425,-0.16626,-0.39,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,10.3,0.005047,-0.151101,-0.38,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-V-MX3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.00624,-0.157458,-0.372,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-V-MX3-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,10.3,0.004635,-0.148167,-0.396,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-V-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,9.75,0.00624,-0.157458,-0.372,24,25
Jinko Solar Co. Ltd,JKMS380M-72HL-V-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.5,9.39,48.9,10.3,0.004635,-0.148167,-0.396,24,25
Jinko Solar Co. Ltd,JKM385M-66H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.4,10.29,44.2,10.83,0.0034656,-0.138788,-0.381,22,25
Jinko Solar Co. Ltd,JKM385M-66H-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.4,10.29,44.2,10.83,0.0035739,-0.128622,-0.376,22,25
Jinko Solar Co. Ltd,JKM385M-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.4,10.58,43.7,11.3,0.003729,-0.1311,-0.374,22,25
Jinko Solar Co. Ltd,JKM385M-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37,10.4,44.3,11.22,0.0052734,-0.1329,-0.364,22,25
Jinko Solar Co. Ltd,JKM385M-6RL3-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.9,10.45,43.8,11.05,0.0038675,-0.132714,-0.374,22,25
Jinko Solar Co. Ltd,JKM385M-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.4,10.58,43.7,11.3,0.003729,-0.1311,-0.374,22,25
Jinko Solar Co. Ltd,JKM385M-72H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.00496,-0.164976,-0.402,144,25
Jinko Solar Co. Ltd,JKM385M-72HB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.0055552,-0.162521,-0.402,144,25
Jinko Solar Co. Ltd,JKM385M-72HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.005456,-0.15221,-0.392,24,25
Jinko Solar Co. Ltd,JKM385M-72HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.78,48.4,10.38,0.0058128,-0.158268,-0.395,24,25
Jinko Solar Co. Ltd,JKM385M-72HBL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.78,48.4,10.38,0.0050862,-0.14278,-0.349,24,25
Jinko Solar Co. Ltd,JKM385M-72HB-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.005952,-0.16203,-0.41,144,25
Jinko Solar Co. Ltd,JKM385M-72HL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.0062496,-0.16694,-0.39,144,25
Jinko Solar Co. Ltd,JKM385M-72HL-BDVP,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.5,9.76,48.1,10.32,0.0057792,-0.150553,-0.409,24,25
Jinko Solar Co. Ltd,JKM385M-72HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.78,48.4,10.38,0.0050862,-0.149556,-0.38,24,25
Jinko Solar Co. Ltd,JKM385M-72HL-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.5,9.76,48.1,10.08,0.0048384,-0.154882,-0.412,24,25
Jinko Solar Co. Ltd,JKM385M-72HL-TV-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.5,9.76,48.1,10.08,0.0044352,-0.148629,-0.421,24,25
Jinko Solar Co. Ltd,JKM385M-72HL-V-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.4,9.78,48.4,10.38,0.004671,-0.146652,-0.396,24,25
Jinko Solar Co. Ltd,JKM385M-72H-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.005952,-0.165467,-0.412,144,25
Jinko Solar Co. Ltd,JKM385N-54HL4-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,30.7,12.55,36.8,13.31,0.0062557,-0.09752,-0.308,18,25
Jinko Solar Co. Ltd,JKM385N-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.1,10.68,44.7,11.43,0.004572,-0.134547,-0.374,22,25
Jinko Solar Co. Ltd,JKM385N-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.5,10.26,45.1,10.84,0.0052032,-0.135751,-0.366,22,25
Jinko Solar Co. Ltd,JKM385N-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.1,10.68,44.7,11.43,0.0044577,-0.134994,-0.38,22,25
Jinko Solar Co. Ltd,JKM385N-72H-MBB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.7,9.71,47.9,10.42,0.0039596,-0.146095,-0.435,24,25
Jinko Solar Co. Ltd,JKM385N-72H-MBB-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.7,9.71,47.9,10.42,0.0051058,-0.153759,-0.441,24,25
Jinko Solar Co. Ltd,JKM385N-72H-MBB-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.7,9.71,47.9,10.42,0.0039596,-0.149448,-0.437,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.0062496,-0.16694,-0.39,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,10.38,0.0050862,-0.151719,-0.38,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-V-MX3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.0063488,-0.158102,-0.372,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-V-MX3-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,10.38,0.004671,-0.148773,-0.396,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-V-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,9.92,0.0063488,-0.158102,-0.372,24,25
Jinko Solar Co. Ltd,JKMS385M-72HL-V-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,40.8,9.44,49.1,10.38,0.004671,-0.148773,-0.396,24,25
Jinko Solar Co. Ltd,JKM390M-66H,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.5,10.39,44.3,10.93,0.0034976,-0.139102,-0.381,22,25
Jinko Solar Co. Ltd,JKM390M-66H-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.5,10.39,44.3,10.93,0.0036069,-0.128913,-0.376,22,25
Jinko Solar Co. Ltd,JKM390M-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.5,10.69,43.8,11.39,0.0037587,-0.1314,-0.374,22,25
Jinko Solar Co. Ltd,JKM390M-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.2,10.5,44.5,11.32,0.0053204,-0.1335,-0.364,22,25
Jinko Solar Co. Ltd,JKM390M-6RL3-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.9,10.57,43.9,11.15,0.0039025,-0.133017,-0.374,22,25
Jinko Solar Co. Ltd,JKM390M-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.5,10.69,43.8,11.39,0.0037587,-0.1314,-0.374,22,25
Jinko Solar Co. Ltd,JKM390M-72HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.12,0.005566,-0.15283,-0.392,24,25
Jinko Solar Co. Ltd,JKM390M-72HBL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.6,10.46,0.0058576,-0.158922,-0.395,24,25
Jinko Solar Co. Ltd,JKM390M-72HBL-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.6,10.46,0.0051254,-0.14337,-0.349,24,25
Jinko Solar Co. Ltd,JKM390M-72HL-BDVP,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.1,10.41,0.0058296,-0.150553,-0.409,24,25
Jinko Solar Co. Ltd,JKM390M-72HL-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.6,10.46,0.0051254,-0.150174,-0.38,24,25
Jinko Solar Co. Ltd,JKM390M-72HL-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.1,10.17,0.0048816,-0.154882,-0.412,24,25
Jinko Solar Co. Ltd,JKM390M-72HL-V-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.6,9.84,48.6,10.46,0.004707,-0.147258,-0.396,24,25
Jinko Solar Co. Ltd,JKM390N-54HL4-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,30.9,12.63,37,13.39,0.0062933,-0.09805,-0.308,18,25
Jinko Solar Co. Ltd,JKM390N-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.1,10.8,44.9,11.53,0.004612,-0.135149,-0.374,22,25
Jinko Solar Co. Ltd,JKM390N-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.7,10.34,45.3,10.92,0.0052416,-0.136353,-0.366,22,25
Jinko Solar Co. Ltd,JKM390N-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.1,10.8,44.9,11.53,0.0044967,-0.135598,-0.38,22,25
Jinko Solar Co. Ltd,JKM390N-72H-MBB,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.8,9.81,48.1,10.48,0.0039824,-0.146705,-0.435,24,25
Jinko Solar Co. Ltd,JKM390N-72H-MBB-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.8,9.81,48.1,10.48,0.0051352,-0.154401,-0.441,24,25
Jinko Solar Co. Ltd,JKM390N-72H-MBB-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.8,9.81,48.1,10.48,0.0039824,-0.150072,-0.437,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.12,0.0063756,-0.16762,-0.39,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.46,0.0051254,-0.152337,-0.38,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-V-MX3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.12,0.0064768,-0.158746,-0.372,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-V-MX3-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.46,0.004707,-0.149379,-0.396,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-V-TI,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.12,0.0064768,-0.158746,-0.372,24,25
Jinko Solar Co. Ltd,JKMS390M-72HL-V-TI-Q,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,41.1,9.49,49.3,10.46,0.004707,-0.149379,-0.396,24,25
Jinko Solar Co. Ltd,JKM395M-6RL3,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.6,10.8,43.9,11.48,0.0037884,-0.1317,-0.374,22,25
Jinko Solar Co. Ltd,JKM395M-6RL3-B,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37.3,10.6,44.6,11.42,0.0053674,-0.1338,-0.364,22,25
Jinko Solar Co. Ltd,JKM395M-6RL3-TV,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,37,10.69,44,11.25,0.0039375,-0.13332,-0.374,22,25
Jinko Solar Co. Ltd,JKM395M-6RL3-V,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,36.6,10.8,43.9,11.48,0.0037884,-0.1317,-0.374,22,25
Jinko Solar Co. Ltd,JKM395M-72HBL,Mono-c-Si,"Could not solve, sanity check failed (-33): abs((P - Pmp) / Pmp) > 0.015",mono,39.9,9.9,48.8,10.54,0.005797,-0.15128,-0.392,24,25
