P_0,h_0,P_50,h_50,P_100,h_100,P_150,h_150,P_200,h_200,P_250,h_250,P_300,h_300,P_350,h_350,P_400,h_400,P_450,h_450,P_500,h_500,P_550,h_550,P_600,h_600,P_650,h_650,P_700,h_700,P_750,h_750,P_800,h_800
15.9296,193.897,15.9296,310.262,15.9296,454.31,15.9296,542.189,15.9296,611.291,15.9296,674.527,15.9296,735.534,15.9296,795.755,15.9296,855.858,15.9296,916.183,15.9296,976.901,15.9296,1038.1,15.9296,1099.82,15.9296,1162.06,15.9296,1224.82,15.9296,1288.08,15.9296,1351.81
16.0553,193.878,16.0553,309.821,16.0553,453.307,16.0553,541.574,16.0553,610.859,16.0553,674.199,16.0553,735.276,16.0553,795.546,16.0553,855.688,16.0553,916.042,16.0553,976.785,16.0553,1038,16.0553,1099.74,16.0553,1161.99,16.0553,1224.77,16.0553,1288.04,16.0553,1351.78
16.1809,193.859,16.1809,309.392,16.1809,452.311,16.1809,540.962,16.1809,610.428,16.1809,673.872,16.1809,735.018,16.1809,795.338,16.1809,855.517,16.1809,915.901,16.1809,976.669,16.1809,1037.91,16.1809,1099.66,16.1809,1161.93,16.1809,1224.72,16.1809,1288,16.1809,1351.76
16.3065,193.841,16.3065,308.974,16.3065,451.322,16.3065,540.35,16.3065,609.997,16.3065,673.546,16.3065,734.76,16.3065,795.13,16.3065,855.347,16.3065,915.761,16.3065,976.553,16.3065,1037.81,16.3065,1099.58,16.3065,1161.87,16.3065,1224.67,16.3065,1287.96,16.3065,1351.73
16.4322,193.824,16.4322,308.567,16.4322,450.34,16.4322,539.74,16.4322,609.568,16.4322,673.22,16.4322,734.503,16.4322,794.922,16.4322,855.177,16.4322,915.621,16.4322,976.437,16.4322,1037.72,16.4322,1099.5,16.4322,1161.8,16.4322,1224.61,16.4322,1287.92,16.4322,1351.7
16.5578,193.807,16.5578,308.17,16.5578,449.366,16.5578,539.131,16.5578,609.139,16.5578,672.895,16.5578,734.247,16.5578,794.715,16.5578,855.008,16.5578,915.481,16.5578,976.322,16.5578,1037.62,16.5578,1099.42,16.5578,1161.74,16.5578,1224.56,16.5578,1287.88,16.5578,1351.67
16.6834,193.79,16.6834,307.782,16.6834,448.399,16.6834,538.524,16.6834,608.711,16.6834,672.57,16.6834,733.991,16.6834,794.509,16.6834,854.839,16.6834,915.342,16.6834,976.207,16.6834,1037.53,16.6834,1099.35,16.6834,1161.68,16.6834,1224.51,16.6834,1287.84,16.6834,1351.64
16.809,193.774,16.809,307.404,16.809,447.44,16.809,537.919,16.809,608.283,16.809,672.246,16.809,733.736,16.809,794.303,16.809,854.67,16.809,915.203,16.809,976.092,16.809,1037.43,16.809,1099.27,16.809,1161.61,16.809,1224.46,16.809,1287.8,16.809,1351.61
16.9347,193.758,16.9347,307.034,16.9347,446.49,16.9347,537.315,16.9347,607.857,16.9347,671.923,16.9347,733.481,16.9347,794.097,16.9347,854.502,16.9347,915.065,16.9347,975.977,16.9347,1037.34,16.9347,1099.19,16.9347,1161.55,16.9347,1224.41,16.9347,1287.76,16.9347,1351.58
17.0603,193.743,17.0603,306.674,17.0603,445.547,17.0603,536.712,17.0603,607.432,17.0603,671.6,17.0603,733.226,17.0603,793.892,17.0603,854.334,17.0603,914.926,17.0603,975.863,17.0603,1037.24,17.0603,1099.11,17.0603,1161.49,17.0603,1224.36,17.0603,1287.72,17.0603,1351.55
17.1859,193.728,17.1859,306.321,17.1859,444.613,17.1859,536.111,17.1859,607.007,17.1859,671.279,17.1859,732.972,17.1859,793.687,17.1859,854.167,17.1859,914.788,17.1859,975.749,17.1859,1037.15,17.1859,1099.04,17.1859,1161.43,17.1859,1224.31,17.1859,1287.69,17.1859,1351.52
17.3116,193.714,17.3116,305.977,17.3116,443.687,17.3116,535.512,17.3116,606.584,17.3116,670.957,17.3116,732.719,17.3116,793.483,17.3116,854,17.3116,914.651,17.3116,975.635,17.3116,1037.06,17.3116,1098.96,17.3116,1161.36,17.3116,1224.26,17.3116,1287.65,17.3116,1351.5
17.4372,193.7,17.4372,305.64,17.4372,442.771,17.4372,534.915,17.4372,606.161,17.4372,670.637,17.4372,732.466,17.4372,793.279,17.4372,853.833,17.4372,914.513,17.4372,975.522,17.4372,1036.96,17.4372,1098.88,17.4372,1161.3,17.4372,1224.22,17.4372,1287.61,17.4372,1351.47
17.5628,193.686,17.5628,305.311,17.5628,441.863,17.5628,534.319,17.5628,605.739,17.5628,670.317,17.5628,732.214,17.5628,793.075,17.5628,853.666,17.5628,914.376,17.5628,975.409,17.5628,1036.87,17.5628,1098.81,17.5628,1161.24,17.5628,1224.17,17.5628,1287.57,17.5628,1351.44
17.6884,193.673,17.6884,304.988,17.6884,440.964,17.6884,533.725,17.6884,605.318,17.6884,669.998,17.6884,731.962,17.6884,792.872,17.6884,853.5,17.6884,914.239,17.6884,975.296,17.6884,1036.78,17.6884,1098.73,17.6884,1161.18,17.6884,1224.12,17.6884,1287.53,17.6884,1351.41
17.8141,193.661,17.8141,304.673,17.8141,440.075,17.8141,533.133,17.8141,604.899,17.8141,669.679,17.8141,731.711,17.8141,792.669,17.8141,853.335,17.8141,914.103,17.8141,975.183,17.8141,1036.68,17.8141,1098.66,17.8141,1161.12,17.8141,1224.07,17.8141,1287.5,17.8141,1351.38
17.9397,193.648,17.9397,304.364,17.9397,439.195,17.9397,532.542,17.9397,604.48,17.9397,669.361,17.9397,731.461,17.9397,792.467,17.9397,853.169,17.9397,913.967,17.9397,975.071,17.9397,1036.59,17.9397,1098.58,17.9397,1161.06,17.9397,1224.02,17.9397,1287.46,17.9397,1351.36
18.0653,193.637,18.0653,304.062,18.0653,438.324,18.0653,531.954,18.0653,604.062,18.0653,669.044,18.0653,731.21,18.0653,792.265,18.0653,853.004,18.0653,913.831,18.0653,974.959,18.0653,1036.5,18.0653,1098.5,18.0653,1160.99,18.0653,1223.97,18.0653,1287.42,18.0653,1351.33
18.191,193.625,18.191,303.766,18.191,437.463,18.191,531.367,18.191,603.645,18.191,668.728,18.191,730.961,18.191,792.064,18.191,852.84,18.191,913.696,18.191,974.847,18.191,1036.41,18.191,1098.43,18.191,1160.93,18.191,1223.92,18.191,1287.38,18.191,1351.3
18.3166,193.614,18.3166,303.476,18.3166,436.611,18.3166,530.783,18.3166,603.229,18.3166,668.412,18.3166,730.712,18.3166,791.863,18.3166,852.676,18.3166,913.56,18.3166,974.736,18.3166,1036.31,18.3166,1098.35,18.3166,1160.87,18.3166,1223.88,18.3166,1287.35,18.3166,1351.27
18.4422,193.604,18.4422,303.192,18.4422,435.769,18.4422,530.2,18.4422,602.815,18.4422,668.097,18.4422,730.463,18.4422,791.663,18.4422,852.512,18.4422,913.425,18.4422,974.624,18.4422,1036.22,18.4422,1098.28,18.4422,1160.81,18.4422,1223.83,18.4422,1287.31,18.4422,1351.25
18.5678,193.594,18.5678,302.913,18.5678,434.937,18.5678,529.62,18.5678,602.401,18.5678,667.783,18.5678,730.215,18.5678,791.463,18.5678,852.348,18.5678,913.291,18.5678,974.513,18.5678,1036.13,18.5678,1098.2,18.5678,1160.75,18.5678,1223.78,18.5678,1287.27,18.5678,1351.22
18.6935,193.584,18.6935,302.64,18.6935,434.115,18.6935,529.042,18.6935,601.988,18.6935,667.469,18.6935,729.968,18.6935,791.263,18.6935,852.185,18.6935,913.157,18.6935,974.403,18.6935,1036.04,18.6935,1098.13,18.6935,1160.69,18.6935,1223.73,18.6935,1287.24,18.6935,1351.19
18.8191,193.575,18.8191,302.373,18.8191,433.303,18.8191,528.466,18.8191,601.577,18.8191,667.156,18.8191,729.721,18.8191,791.064,18.8191,852.023,18.8191,913.023,18.8191,974.292,18.8191,1035.95,18.8191,1098.06,18.8191,1160.63,18.8191,1223.68,18.8191,1287.2,18.8191,1351.17
18.9447,193.566,18.9447,302.11,18.9447,432.5,18.9447,527.892,18.9447,601.166,18.9447,666.844,18.9447,729.475,18.9447,790.866,18.9447,851.86,18.9447,912.889,18.9447,974.182,18.9447,1035.86,18.9447,1097.98,18.9447,1160.57,18.9447,1223.64,18.9447,1287.16,18.9447,1351.14
19.0704,193.557,19.0704,301.852,19.0704,431.708,19.0704,527.32,19.0704,600.757,19.0704,666.533,19.0704,729.229,19.0704,790.667,19.0704,851.698,19.0704,912.756,19.0704,974.072,19.0704,1035.77,19.0704,1097.91,19.0704,1160.51,19.0704,1223.59,19.0704,1287.13,19.0704,1351.11
19.196,193.549,19.196,301.599,19.196,430.925,19.196,526.75,19.196,600.348,19.196,666.222,19.196,728.984,19.196,790.47,19.196,851.537,19.196,912.623,19.196,973.963,19.196,1035.68,19.196,1097.83,19.196,1160.45,19.196,1223.54,19.196,1287.09,19.196,1351.09
19.3216,193.541,19.3216,301.351,19.3216,430.152,19.3216,526.183,19.3216,599.941,19.3216,665.912,19.3216,728.74,19.3216,790.272,19.3216,851.375,19.3216,912.49,19.3216,973.853,19.3216,1035.59,19.3216,1097.76,19.3216,1160.39,19.3216,1223.5,19.3216,1287.06,19.3216,1351.06
19.4472,193.534,19.4472,301.108,19.4472,429.389,19.4472,525.618,19.4472,599.535,19.4472,665.603,19.4472,728.496,19.4472,790.076,19.4472,851.215,19.4472,912.358,19.4472,973.744,19.4472,1035.5,19.4472,1097.69,19.4472,1160.34,19.4472,1223.45,19.4472,1287.02,19.4472,1351.03
19.5729,193.527,19.5729,300.869,19.5729,428.635,19.5729,525.055,19.5729,599.13,19.5729,665.294,19.5729,728.252,19.5729,789.879,19.5729,851.054,19.5729,912.226,19.5729,973.636,19.5729,1035.41,19.5729,1097.61,19.5729,1160.28,19.5729,1223.4,19.5729,1286.98,19.5729,1351.01
19.6985,193.52,19.6985,300.634,19.6985,427.892,19.6985,524.495,19.6985,598.726,19.6985,664.987,19.6985,728.009,19.6985,789.683,19.6985,850.894,19.6985,912.095,19.6985,973.527,19.6985,1035.32,19.6985,1097.54,19.6985,1160.22,19.6985,1223.36,19.6985,1286.95,19.6985,1350.98
19.8241,193.514,19.8241,300.403,19.8241,427.158,19.8241,523.937,19.8241,598.323,19.8241,664.68,19.8241,727.767,19.8241,789.488,19.8241,850.734,19.8241,911.963,19.8241,973.419,19.8241,1035.23,19.8241,1097.47,19.8241,1160.16,19.8241,1223.31,19.8241,1286.91,19.8241,1350.96
19.9497,193.508,19.9497,300.177,19.9497,426.434,19.9497,523.381,19.9497,597.921,19.9497,664.374,19.9497,727.525,19.9497,789.293,19.9497,850.575,19.9497,911.832,19.9497,973.311,19.9497,1035.14,19.9497,1097.4,19.9497,1160.1,19.9497,1223.26,19.9497,1286.88,19.9497,1350.93
20.0754,193.502,20.0754,299.954,20.0754,425.72,20.0754,522.828,20.0754,597.521,20.0754,664.068,20.0754,727.284,20.0754,789.098,20.0754,850.416,20.0754,911.702,20.0754,973.203,20.0754,1035.05,20.0754,1097.32,20.0754,1160.04,20.0754,1223.22,20.0754,1286.84,20.0754,1350.91
20.201,193.497,20.201,299.735,20.201,425.016,20.201,522.277,20.201,597.122,20.201,663.764,20.201,727.044,20.201,788.904,20.201,850.258,20.201,911.571,20.201,973.096,20.201,1034.97,20.201,1097.25,20.201,1159.99,20.201,1223.17,20.201,1286.81,20.201,1350.88
20.3266,193.492,20.3266,299.52,20.3266,424.321,20.3266,521.729,20.3266,596.724,20.3266,663.46,20.3266,726.804,20.3266,788.711,20.3266,850.1,20.3266,911.441,20.3266,972.989,20.3266,1034.88,20.3266,1097.18,20.3266,1159.93,20.3266,1223.13,20.3266,1286.77,20.3266,1350.85
20.4523,193.488,20.4523,299.309,20.4523,423.635,20.4523,521.183,20.4523,596.327,20.4523,663.157,20.4523,726.564,20.4523,788.518,20.4523,849.942,20.4523,911.311,20.4523,972.882,20.4523,1034.79,20.4523,1097.11,20.4523,1159.87,20.4523,1223.08,20.4523,1286.74,20.4523,1350.83
20.5779,193.484,20.5779,299.101,20.5779,422.959,20.5779,520.64,20.5779,595.931,20.5779,662.855,20.5779,726.325,20.5779,788.325,20.5779,849.784,20.5779,911.182,20.5779,972.775,20.5779,1034.7,20.5779,1097.04,20.5779,1159.81,20.5779,1223.04,20.5779,1286.71,20.5779,1350.8
20.7035,193.48,20.7035,298.897,20.7035,422.292,20.7035,520.1,20.7035,595.536,20.7035,662.553,20.7035,726.087,20.7035,788.133,20.7035,849.627,20.7035,911.053,20.7035,972.669,20.7035,1034.62,20.7035,1096.97,20.7035,1159.76,20.7035,1222.99,20.7035,1286.67,20.7035,1350.78
20.8291,193.476,20.8291,298.696,20.8291,421.635,20.8291,519.562,20.8291,595.143,20.8291,662.253,20.8291,725.85,20.8291,787.941,20.8291,849.471,20.8291,910.924,20.8291,972.563,20.8291,1034.53,20.8291,1096.9,20.8291,1159.7,20.8291,1222.95,20.8291,1286.64,20.8291,1350.76
20.9548,193.473,20.9548,298.499,20.9548,420.986,20.9548,519.027,20.9548,594.751,20.9548,661.953,20.9548,725.613,20.9548,787.75,20.9548,849.314,20.9548,910.796,20.9548,972.458,20.9548,1034.44,20.9548,1096.83,20.9548,1159.64,20.9548,1222.9,20.9548,1286.6,20.9548,1350.73
21.0804,193.47,21.0804,298.305,21.0804,420.347,21.0804,518.494,21.0804,594.36,21.0804,661.654,21.0804,725.376,21.0804,787.559,21.0804,849.159,21.0804,910.668,21.0804,972.352,21.0804,1034.36,21.0804,1096.76,21.0804,1159.59,21.0804,1222.86,21.0804,1286.57,21.0804,1350.71
21.206,193.468,21.206,298.114,21.206,419.717,21.206,517.964,21.206,593.971,21.206,661.356,21.206,725.14,21.206,787.369,21.206,849.003,21.206,910.54,21.206,972.247,21.206,1034.27,21.206,1096.69,21.206,1159.53,21.206,1222.81,21.206,1286.54,21.206,1350.68
21.3317,193.466,21.3317,297.926,21.3317,419.095,21.3317,517.437,21.3317,593.583,21.3317,661.058,21.3317,724.905,21.3317,787.179,21.3317,848.848,21.3317,910.412,21.3317,972.142,21.3317,1034.18,21.3317,1096.62,21.3317,1159.47,21.3317,1222.77,21.3317,1286.5,21.3317,1350.66
21.4573,193.464,21.4573,297.741,21.4573,418.483,21.4573,516.912,21.4573,593.196,21.4573,660.762,21.4573,724.671,21.4573,786.989,21.4573,848.693,21.4573,910.285,21.4573,972.037,21.4573,1034.1,21.4573,1096.55,21.4573,1159.42,21.4573,1222.73,21.4573,1286.47,21.4573,1350.63
21.5829,193.463,21.5829,297.559,21.5829,417.879,21.5829,516.39,21.5829,592.81,21.5829,660.466,21.5829,724.436,21.5829,786.8,21.5829,848.539,21.5829,910.158,21.5829,971.933,21.5829,1034.01,21.5829,1096.48,21.5829,1159.36,21.5829,1222.68,21.5829,1286.44,21.5829,1350.61
21.7085,193.461,21.7085,297.38,21.7085,417.283,21.7085,515.871,21.7085,592.426,21.7085,660.171,21.7085,724.203,21.7085,786.612,21.7085,848.385,21.7085,910.032,21.7085,971.829,21.7085,1033.93,21.7085,1096.41,21.7085,1159.31,21.7085,1222.64,21.7085,1286.4,21.7085,1350.59
21.8342,193.461,21.8342,297.203,21.8342,416.696,21.8342,515.355,21.8342,592.043,21.8342,659.877,21.8342,723.97,21.8342,786.424,21.8342,848.232,21.8342,909.906,21.8342,971.725,21.8342,1033.84,21.8342,1096.34,21.8342,1159.25,21.8342,1222.59,21.8342,1286.37,21.8342,1350.56
21.9598,193.46,21.9598,297.03,21.9598,416.117,21.9598,514.842,21.9598,591.661,21.9598,659.584,21.9598,723.738,21.9598,786.237,21.9598,848.078,21.9598,909.78,21.9598,971.622,21.9598,1033.76,21.9598,1096.27,21.9598,1159.19,21.9598,1222.55,21.9598,1286.34,21.9598,1350.54
22.0854,193.46,22.0854,296.859,22.0854,415.547,22.0854,514.331,22.0854,591.28,22.0854,659.291,22.0854,723.506,22.0854,786.05,22.0854,847.926,22.0854,909.655,22.0854,971.519,22.0854,1033.67,22.0854,1096.2,22.0854,1159.14,22.0854,1222.51,22.0854,1286.3,22.0854,1350.52
22.2111,193.46,22.2111,296.691,22.2111,414.985,22.2111,513.823,22.2111,590.901,22.2111,658.999,22.2111,723.275,22.2111,785.863,22.2111,847.773,22.2111,909.529,22.2111,971.416,22.2111,1033.59,22.2111,1096.13,22.2111,1159.08,22.2111,1222.47,22.2111,1286.27,22.2111,1350.49
22.3367,193.46,22.3367,296.525,22.3367,414.43,22.3367,513.318,22.3367,590.523,22.3367,658.709,22.3367,723.045,22.3367,785.677,22.3367,847.621,22.3367,909.405,22.3367,971.313,22.3367,1033.5,22.3367,1096.06,22.3367,1159.03,22.3367,1222.42,22.3367,1286.24,22.3367,1350.47
22.4623,193.461,22.4623,296.362,22.4623,413.884,22.4623,512.816,22.4623,590.147,22.4623,658.419,22.4623,722.815,22.4623,785.491,22.4623,847.47,22.4623,909.28,22.4623,971.211,22.4623,1033.42,22.4623,1095.99,22.4623,1158.98,22.4623,1222.38,22.4623,1286.21,22.4623,1350.45
22.5879,193.462,22.5879,296.201,22.5879,413.345,22.5879,512.317,22.5879,589.772,22.5879,658.13,22.5879,722.586,22.5879,785.306,22.5879,847.319,22.5879,909.156,22.5879,971.109,22.5879,1033.34,22.5879,1095.93,22.5879,1158.92,22.5879,1222.34,22.5879,1286.17,22.5879,1350.42
22.7136,193.463,22.7136,296.043,22.7136,412.815,22.7136,511.821,22.7136,589.398,22.7136,657.841,22.7136,722.358,22.7136,785.122,22.7136,847.168,22.7136,909.032,22.7136,971.007,22.7136,1033.25,22.7136,1095.86,22.7136,1158.87,22.7136,1222.29,22.7136,1286.14,22.7136,1350.4
22.8392,193.465,22.8392,295.888,22.8392,412.291,22.8392,511.327,22.8392,589.025,22.8392,657.554,22.8392,722.13,22.8392,784.938,22.8392,847.017,22.8392,908.908,22.8392,970.905,22.8392,1033.17,22.8392,1095.79,22.8392,1158.81,22.8392,1222.25,22.8392,1286.11,22.8392,1350.38
22.9648,193.467,22.9648,295.734,22.9648,411.775,22.9648,510.837,22.9648,588.654,22.9648,657.267,22.9648,721.902,22.9648,784.754,22.9648,846.867,22.9648,908.785,22.9648,970.804,22.9648,1033.09,22.9648,1095.72,22.9648,1158.76,22.9648,1222.21,22.9648,1286.08,22.9648,1350.36
23.0905,193.469,23.0905,295.583,23.0905,411.267,23.0905,510.349,23.0905,588.284,23.0905,656.982,23.0905,721.676,23.0905,784.571,23.0905,846.718,23.0905,908.662,23.0905,970.703,23.0905,1033,23.0905,1095.66,23.0905,1158.71,23.0905,1222.17,23.0905,1286.05,23.0905,1350.33
23.2161,193.472,23.2161,295.434,23.2161,410.765,23.2161,509.864,23.2161,587.916,23.2161,656.697,23.2161,721.45,23.2161,784.388,23.2161,846.569,23.2161,908.54,23.2161,970.602,23.2161,1032.92,23.2161,1095.59,23.2161,1158.65,23.2161,1222.13,23.2161,1286.02,23.2161,1350.31
23.3417,193.474,23.3417,295.287,23.3417,410.271,23.3417,509.383,23.3417,587.549,23.3417,656.413,23.3417,721.224,23.3417,784.206,23.3417,846.42,23.3417,908.418,23.3417,970.502,23.3417,1032.84,23.3417,1095.52,23.3417,1158.6,23.3417,1222.09,23.3417,1285.99,23.3417,1350.29
23.4673,193.478,23.4673,295.143,23.4673,409.783,23.4673,508.904,23.4673,587.183,23.4673,656.13,23.4673,720.999,23.4673,784.024,23.4673,846.271,23.4673,908.296,23.4673,970.402,23.4673,1032.76,23.4673,1095.46,23.4673,1158.55,23.4673,1222.04,23.4673,1285.95,23.4673,1350.27
23.593,193.481,23.593,295,23.593,409.303,23.593,508.428,23.593,586.819,23.593,655.848,23.593,720.775,23.593,783.843,23.593,846.123,23.593,908.174,23.593,970.302,23.593,1032.68,23.593,1095.39,23.593,1158.49,23.593,1222,23.593,1285.92,23.593,1350.25
23.7186,193.485,23.7186,294.86,23.7186,408.829,23.7186,507.955,23.7186,586.456,23.7186,655.566,23.7186,720.552,23.7186,783.662,23.7186,845.976,23.7186,908.053,23.7186,970.202,23.7186,1032.6,23.7186,1095.33,23.7186,1158.44,23.7186,1221.96,23.7186,1285.89,23.7186,1350.23
23.8442,193.488,23.8442,294.721,23.8442,408.362,23.8442,507.486,23.8442,586.095,23.8442,655.286,23.8442,720.329,23.8442,783.482,23.8442,845.828,23.8442,907.932,23.8442,970.103,23.8442,1032.51,23.8442,1095.26,23.8442,1158.39,23.8442,1221.92,23.8442,1285.86,23.8442,1350.2
23.9698,193.493,23.9698,294.585,23.9698,407.901,23.9698,507.019,23.9698,585.735,23.9698,655.006,23.9698,720.107,23.9698,783.302,23.9698,845.681,23.9698,907.811,23.9698,970.004,23.9698,1032.43,23.9698,1095.19,23.9698,1158.34,23.9698,1221.88,23.9698,1285.83,23.9698,1350.18
24.0955,193.497,24.0955,294.45,24.0955,407.447,24.0955,506.555,24.0955,585.376,24.0955,654.727,24.0955,719.885,24.0955,783.123,24.0955,845.535,24.0955,907.691,24.0955,969.905,24.0955,1032.35,24.0955,1095.13,24.0955,1158.28,24.0955,1221.84,24.0955,1285.8,24.0955,1350.16
24.2211,193.502,24.2211,294.318,24.2211,407,24.2211,506.094,24.2211,585.019,24.2211,654.45,24.2211,719.664,24.2211,782.944,24.2211,845.389,24.2211,907.571,24.2211,969.807,24.2211,1032.27,24.2211,1095.06,24.2211,1158.23,24.2211,1221.8,24.2211,1285.77,24.2211,1350.14
24.3467,193.507,24.3467,294.187,24.3467,406.558,24.3467,505.636,24.3467,584.663,24.3467,654.173,24.3467,719.443,24.3467,782.766,24.3467,845.243,24.3467,907.452,24.3467,969.709,24.3467,1032.19,24.3467,1095,24.3467,1158.18,24.3467,1221.76,24.3467,1285.74,24.3467,1350.12
24.4724,193.512,24.4724,294.058,24.4724,406.123,24.4724,505.181,24.4724,584.309,24.4724,653.897,24.4724,719.224,24.4724,782.588,24.4724,845.098,24.4724,907.332,24.4724,969.611,24.4724,1032.11,24.4724,1094.93,24.4724,1158.13,24.4724,1221.72,24.4724,1285.71,24.4724,1350.1
24.598,193.518,24.598,293.931,24.598,405.693,24.598,504.729,24.598,583.956,24.598,653.621,24.598,719.005,24.598,782.411,24.598,844.953,24.598,907.213,24.598,969.513,24.598,1032.03,24.598,1094.87,24.598,1158.08,24.598,1221.68,24.598,1285.68,24.598,1350.08
24.7236,193.524,24.7236,293.806,24.7236,405.27,24.7236,504.28,24.7236,583.605,24.7236,653.347,24.7236,718.786,24.7236,782.234,24.7236,844.809,24.7236,907.095,24.7236,969.416,24.7236,1031.95,24.7236,1094.8,24.7236,1158.03,24.7236,1221.64,24.7236,1285.65,24.7236,1350.06
24.8492,193.53,24.8492,293.683,24.8492,404.852,24.8492,503.834,24.8492,583.255,24.8492,653.074,24.8492,718.568,24.8492,782.058,24.8492,844.665,24.8492,906.977,24.8492,969.319,24.8492,1031.87,24.8492,1094.74,24.8492,1157.97,24.8492,1221.6,24.8492,1285.62,24.8492,1350.04
24.9749,193.536,24.9749,293.561,24.9749,404.44,24.9749,503.391,24.9749,582.906,24.9749,652.801,24.9749,718.351,24.9749,781.882,24.9749,844.521,24.9749,906.859,24.9749,969.222,24.9749,1031.79,24.9749,1094.68,24.9749,1157.92,24.9749,1221.56,24.9749,1285.59,24.9749,1350.02
25.1005,193.543,25.1005,293.441,25.1005,404.034,25.1005,502.951,25.1005,582.559,25.1005,652.53,25.1005,718.135,25.1005,781.707,25.1005,844.378,25.1005,906.741,25.1005,969.125,25.1005,1031.72,25.1005,1094.61,25.1005,1157.87,25.1005,1221.52,25.1005,1285.56,25.1005,1350
25.2261,193.549,25.2261,293.322,25.2261,403.634,25.2261,502.514,25.2261,582.213,25.2261,652.259,25.2261,717.919,25.2261,781.532,25.2261,844.235,25.2261,906.624,25.2261,969.029,25.2261,1031.64,25.2261,1094.55,25.2261,1157.82,25.2261,1221.48,25.2261,1285.53,25.2261,1349.98
25.3518,193.557,25.3518,293.206,25.3518,403.238,25.3518,502.08,25.3518,581.869,25.3518,651.989,25.3518,717.704,25.3518,781.358,25.3518,844.092,25.3518,906.507,25.3518,968.933,25.3518,1031.56,25.3518,1094.49,25.3518,1157.77,25.3518,1221.44,25.3518,1285.51,25.3518,1349.96
25.4774,193.564,25.4774,293.09,25.4774,402.848,25.4774,501.649,25.4774,581.526,25.4774,651.721,25.4774,717.489,25.4774,781.184,25.4774,843.95,25.4774,906.39,25.4774,968.838,25.4774,1031.48,25.4774,1094.42,25.4774,1157.72,25.4774,1221.4,25.4774,1285.48,25.4774,1349.94
25.603,193.572,25.603,292.977,25.603,402.464,25.603,501.221,25.603,581.184,25.603,651.453,25.603,717.275,25.603,781.01,25.603,843.808,25.603,906.274,25.603,968.742,25.603,1031.4,25.603,1094.36,25.603,1157.67,25.603,1221.37,25.603,1285.45,25.603,1349.92
25.7286,193.579,25.7286,292.865,25.7286,402.084,25.7286,500.796,25.7286,580.845,25.7286,651.186,25.7286,717.062,25.7286,780.838,25.7286,843.667,25.7286,906.158,25.7286,968.647,25.7286,1031.32,25.7286,1094.3,25.7286,1157.62,25.7286,1221.33,25.7286,1285.42,25.7286,1349.9
25.8543,193.588,25.8543,292.754,25.8543,401.71,25.8543,500.374,25.8543,580.506,25.8543,650.919,25.8543,716.849,25.8543,780.665,25.8543,843.526,25.8543,906.042,25.8543,968.552,25.8543,1031.25,25.8543,1094.24,25.8543,1157.57,25.8543,1221.29,25.8543,1285.39,25.8543,1349.88
25.9799,193.596,25.9799,292.645,25.9799,401.34,25.9799,499.955,25.9799,580.169,25.9799,650.654,25.9799,716.637,25.9799,780.493,25.9799,843.386,25.9799,905.927,25.9799,968.458,25.9799,1031.17,25.9799,1094.17,25.9799,1157.52,25.9799,1221.25,25.9799,1285.36,25.9799,1349.86
26.1055,193.604,26.1055,292.538,26.1055,400.976,26.1055,499.539,26.1055,579.834,26.1055,650.39,26.1055,716.426,26.1055,780.322,26.1055,843.246,26.1055,905.812,26.1055,968.364,26.1055,1031.09,26.1055,1094.11,26.1055,1157.47,26.1055,1221.21,26.1055,1285.34,26.1055,1349.84
26.2312,193.613,26.2312,292.432,26.2312,400.616,26.2312,499.125,26.2312,579.5,26.2312,650.126,26.2312,716.215,26.2312,780.151,26.2312,843.106,26.2312,905.698,26.2312,968.27,26.2312,1031.02,26.2312,1094.05,26.2312,1157.43,26.2312,1221.18,26.2312,1285.31,26.2312,1349.82
26.3568,193.622,26.3568,292.327,26.3568,400.261,26.3568,498.715,26.3568,579.167,26.3568,649.864,26.3568,716.005,26.3568,779.981,26.3568,842.967,26.3568,905.583,26.3568,968.176,26.3568,1030.94,26.3568,1093.99,26.3568,1157.38,26.3568,1221.14,26.3568,1285.28,26.3568,1349.8
26.4824,193.632,26.4824,292.224,26.4824,399.911,26.4824,498.308,26.4824,578.836,26.4824,649.602,26.4824,715.795,26.4824,779.811,26.4824,842.828,26.4824,905.469,26.4824,968.083,26.4824,1030.86,26.4824,1093.93,26.4824,1157.33,26.4824,1221.1,26.4824,1285.25,26.4824,1349.78
26.608,193.641,26.608,292.122,26.608,399.565,26.608,497.904,26.608,578.506,26.608,649.342,26.608,715.587,26.608,779.642,26.608,842.689,26.608,905.356,26.608,967.989,26.608,1030.79,26.608,1093.86,26.608,1157.28,26.608,1221.06,26.608,1285.22,26.608,1349.76
26.7337,193.651,26.7337,292.022,26.7337,399.224,26.7337,497.502,26.7337,578.178,26.7337,649.082,26.7337,715.378,26.7337,779.473,26.7337,842.551,26.7337,905.242,26.7337,967.897,26.7337,1030.71,26.7337,1093.8,26.7337,1157.23,26.7337,1221.03,26.7337,1285.2,26.7337,1349.75
26.8593,193.661,26.8593,291.923,26.8593,398.888,26.8593,497.104,26.8593,577.852,26.8593,648.823,26.8593,715.171,26.8593,779.305,26.8593,842.414,26.8593,905.129,26.8593,967.804,26.8593,1030.64,26.8593,1093.74,26.8593,1157.18,26.8593,1220.99,26.8593,1285.17,26.8593,1349.73
